id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25QHP3BLE2QG,2025-11-13T11:58:00Z,Sancé,,71000,BUY,APARTMENT,199500.0,66.0,3,2,"La Canopée – Sancé (71) : votre nouvel écrin de vie aux portes de Mâcon Découvrez La Canopée, un nouveau programme immobilier neuf situé à Sancé, à seulement 5 minutes du centre-ville de Mâcon. Niché..."
25SYVP4IC3MM,2025-11-13T11:58:00Z,Sancé,,71000,BUY,APARTMENT,158000.0,48.0,2,1,"La Canopée – Sancé (71) : votre nouvel écrin de vie aux portes de Mâcon Découvrez La Canopée, un nouveau programme immobilier neuf situé à Sancé, à seulement 5 minutes du centre-ville de Mâcon. Niché..."
25QA7AQAE96T,2025-11-13T11:58:00Z,Sancé,,71000,BUY,APARTMENT,279500.0,91.0,4,3,"La Canopée – Sancé (71) : votre nouvel écrin de vie aux portes de Mâcon Découvrez La Canopée, un nouveau programme immobilier neuf situé à Sancé, à seulement 5 minutes du centre-ville de Mâcon. Niché..."
25GCKA5YMRHQ,2025-11-27T16:24:00Z,Sennecey-le-Grand,,71240,BUY,PROJECT,216864.0,,3,2,"Sur ce terrain, nous vous proposons cette maison neuve, la Sauvetière, conçue par Babeau-Seguin, constructeur reconnu pour offrir le meilleur rapport qualité/prix du marché. La Sauvetière est sans au..."
25V1NY3677SQ,2025-10-14T23:54:00Z,Mâcon,Heritan-Neuf Cles,71000,BUY,APARTMENT,162000.0,43.87,2,,"Mâcon : La cité Lamartine « Oh temps ! Suspends ton vol ». Ces mots d'Alphonse de Lamartine, poète et homme politique natif de Mâcon, invitent à la flânerie dans cette ville riche en culture viticole..."
25HXF717UXAS,2025-11-17T20:58:00Z,Chalon sur Saone,Colombiere,71100,BUY,APARTMENT,110000.0,78.0,3,2,"Découvrez cet appartement à vendre, situé au 7ème et dernier étage avec un ascenseur d'un immeuble construit en 1970, offrant une surface de 78 m². Ce bien, référencé 2043, est proposé au prix de 110..."
25PV5SISD4AJ,2025-10-14T23:54:00Z,Mâcon,Heritan-Neuf Cles,71000,BUY,APARTMENT,217000.0,66.47,3,,"Mâcon : La cité Lamartine « Oh temps ! Suspends ton vol ». Ces mots d'Alphonse de Lamartine, poète et homme politique natif de Mâcon, invitent à la flânerie dans cette ville riche en culture viticole..."
25NUJN4CUK4Y,2025-11-21T16:45:00Z,Saint-Marcel,,71380,BUY,HOUSE,1290000.0,282.0,10,7,"À quelques minutes de Chalon-sur-Saône, un décor de haute élégance s'impose : un château du XIX? siècle d'inspiration Viollet-le-Duc, édifié au cœur d'un parc clos et arboré de 5 576 m², comme une pi..."
25JB1TC4Z6C7,2025-11-21T21:15:00Z,Senozan,,71260,BUY,HOUSE,245000.0,100.0,5,4,"En EXCLUSIVITE : venez découvrir cette jolie VILLA située dans le village de SENOZAN dans cette belle région de Bourgogne, proche des commerces et de toutes les commodités. Cette maison se compose d'..."
25MST51PDK1A,2025-10-06T08:25:00Z,Massilly,,71250,BUY,HOUSE,320000.0,157.0,5,3,"Nichée dans un environnement bucolique, cette spacieuse demeure de village allie charme ancien et confort contemporain. Construite dans les années 1930 et soigneusement rénovée, elle déploie environ ..."
