id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25K2Q21RPTHK,2025-11-06T06:57:00Z,Le Mans,Gallière-Boussinière,72100,BUY,APARTMENT,175500.0,45.5,2,1,INVESTISSEZ DANS UN APPARTEMENT NEUF A PARTIR DE 95 800€ ?? Un marché locatif en plein essor au Mans Le Mans affiche une forte demande en petites surfaces. Les studios et T2 représentent près de 45 %...
257UNKQDSLY4,2025-03-26T08:19:00Z,Le Mans,Gallière-Boussinière,72100,BUY,APARTMENT,95800.0,19.91,1,,INVESTISSEZ DANS UN APPARTEMENT NEUF A PARTIR DE 95 800€ ?? Un marché locatif en plein essor au Mans Le Mans affiche une forte demande en petites surfaces. Les studios et T2 représentent près de 45 %...
25C842FVIKR3,2025-11-28T16:25:00Z,Sablé-sur-Sarthe,Centre,72300,BUY,PROJECT,222280.0,,4,3,"Nous vous proposons cette maison neuve, modèle ''City'', une conception moderne et écologique, parfaitement adaptée à la vie urbaine sur des terrains de dimensions réduites. Avec une surface habitabl..."
25WJDR28GQW8,2025-11-26T10:18:00Z,Teloché,,72220,BUY,HOUSE,212550.0,96.68,7,3,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service d'exception. Découvrez une présentation soignée de ce bien : des photos pro, un plan détaillé et une visite virtuelle immersi..."
25VRGURZCXNQ,2025-11-28T16:25:00Z,Sainte-Jamme-sur-Sarthe,,72380,BUY,PROJECT,287819.0,,5,4,"Nous vous proposons cette maison neuve, baptisée ''Graphite'', un modèle à étage qui combine habilement espace et élégance. Avec une surface habitable de 99 m², cette maison est conçue pour répondre ..."
25NSQBASIRA4,2025-11-28T16:25:00Z,Crosmières,,72200,BUY,PROJECT,208207.0,,5,4,"Nous vous proposons cette maison neuve, baptisée ''Rubis'', une demeure qui incarne la perfection pour les familles en quête d'un foyer à la fois moderne, fonctionnel et économique. Avec une surface ..."
256EAGE731NA,2025-05-16T08:38:00Z,Le Mans,Saint Pavin-Saint Georges,72000,BUY,APARTMENT,149500.0,36.91,2,,"FAITES LE PLEIN DE M² AU MANS. BLACK FRIDAY : ÉNONOMISEZ JUSQU'À 30 000 euros*. Astella, mettez le cap vers la Sarthe. Découvrez au cœur du quartier Saint-Georges au Mans, Astella ! Bordé par le Boul..."
25QCPXV7QAS5,2025-09-27T04:56:00Z,Le Mans,Saint Pavin-Saint Georges,72000,BUY,APARTMENT,99000.0,22.47,1,,"FAITES LE PLEIN DE M² AU MANS. BLACK FRIDAY : ÉNONOMISEZ JUSQU'À 30 000 euros*. Astella, mettez le cap vers la Sarthe. Découvrez au cœur du quartier Saint-Georges au Mans, Astella ! Bordé par le Boul..."
253BCRILIQL5,2025-11-28T16:25:00Z,Cérans-Foulletourte,,72330,BUY,PROJECT,254677.0,,5,4,"Nous vous proposons cette maison neuve, baptisée Atrium, en hommage à l'architecture de la Rome Antique où l'atrium désignait une cour centrale, préambule à l'espace de vie principal. Ce modèle, conç..."
25J15B2MCUAU,2025-11-29T17:08:00Z,Le Mans,Bollé-Sainte Croix-Mutuelles,72000,BUY,APARTMENT,163000.0,95.0,4,3,"À seulement quelques pas du centre-ville, découvrez ce bel appartement situé sur un étage élevé d'une résidence sécurisée avec ascenseur. Vous serez immédiatement séduit par la grande pièce à vivre b..."
258XNFJGY9WE,2025-10-28T10:19:00Z,Le Mans,Gare-Sud,72000,BUY,APARTMENT,124900.0,20.9,1,,"Livraison 4 ème trimèstre 2027 - VINCI Immobilier vous présente LES BOSQUETS, son nouveau programme immobilier au Mans idéalement situé dans la ZAC de la Cartoucherie. Longé par les Batignolles, cet ..."
