id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
24BKR1UWR4US,2024-12-16T19:32:00Z,Courchevel,,73120,BUY,APARTMENT,716200.0,54.43,3,2,"Découvrez Bârma Résidence & Spa, une résidence d'exception à Courchevel, au cœur du domaine mythique des 3 Vallées ! Idéalement située au pied des pistes, elle propose des appartements de 34m² à 220m..."
24K7GKAUIAPB,2024-03-01T19:07:00Z,La Toussuire,,73300,BUY,APARTMENT,393500.0,50.0,3,2,"-- Programme neuf, frais de notaire réduits (2.5%) et récupération de la TVA (20%) -- Découvrez ce nouveau projet au cœur de La Toussuire, une résidence neuve proposant des appartements et penthouses..."
24V9WP3CP1CV,2024-03-01T19:07:00Z,La Toussuire,,73300,BUY,APARTMENT,855000.0,104.0,5,4,"-- Programme neuf, frais de notaire réduits (2.5%) et récupération de la TVA (20%) -- Découvrez ce nouveau projet au cœur de La Toussuire, une résidence neuve proposant des appartements et penthouses..."
24ULWMEC324C,2024-03-01T19:07:00Z,La Toussuire,,73300,BUY,APARTMENT,333500.0,42.0,2,1,"-- Programme neuf, frais de notaire réduits (2.5%) et récupération de la TVA (20%) -- Découvrez ce nouveau projet au cœur de La Toussuire, une résidence neuve proposant des appartements et penthouses..."
243X8BS7GY5R,2024-03-01T19:07:00Z,La Toussuire,,73300,BUY,APARTMENT,531000.0,71.0,4,3,"-- Programme neuf, frais de notaire réduits (2.5%) et récupération de la TVA (20%) -- Découvrez ce nouveau projet au cœur de La Toussuire, une résidence neuve proposant des appartements et penthouses..."
245CPS2X42J2,2023-04-20T08:03:00Z,Aix-les-Bains,Chantemerle-Saint Pol,73100,BUY,APARTMENT,425000.0,82.7,4,3,"Idéalement située sur les bords du Tillet, à deux pas du golf et proche de l'accès autoroutier, cette résidence composée de quatre petits bâtiments sur 3 niveaux avec ascenseur, vous séduira par son ..."
24E3Y1WXNLI9,2023-04-20T08:03:00Z,Aix les Bains,Chantemerle-Saint Pol,73100,BUY,APARTMENT,235000.0,43.2,2,1,Appartement T2 de 43.2m² au deuxième étage.
24I1TAM6N4BA,2023-12-22T11:39:00Z,Les Menuires,,73440,BUY,APARTMENT,889000.0,74.85,3,2,"DERNIERS LOTS DISPONIBLES - FONDATIONS ACHEVEES Unique : Le Reflet des Cimes — Une parenthèse alpine aux Menuires Et si chaque matin, votre horizon s'ouvrait sur les sommets enneigés des 3 Vallées ? ..."
23WDY6A3QQMB,2023-07-12T18:40:00Z,Cognin,Sud,73160,BUY,APARTMENT,213200.0,69.2,3,2,"Découvrez Les Demeures de Gaïa, votre nouvelle adresse aux portes de Chambéry, dans l'Écoquartier de Villeneuve à Cognin. Un cadre naturel préservé, à deux pas des commerces et services, et à 24 min ..."
25ECVKSYBWJG,2025-08-14T18:29:00Z,Cognin,Sud,73160,BUY,APARTMENT,120000.0,20.7,1,,"Découvrez Les Demeures de Gaïa, votre nouvelle adresse aux portes de Chambéry, dans l'Écoquartier de Villeneuve à Cognin. Un cadre naturel préservé, à deux pas des commerces et services, et à 24 min ..."
