id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25DSFNTLQSJP,2025-11-20T15:15:00Z,Beaumont,,74160,BUY,APARTMENT,294000,41.0,2,1,"Horizon Beaumont, située au cœur de Beaumont (74160), propose un cadre de vie harmonieux où confort moderne et douceur environnementale se rencontrent naturellement. L'architecture privilégie des lig..."
255N7YGIU9Y1,2025-11-20T15:15:00Z,Beaumont,,74160,BUY,APARTMENT,386000,68.0,3,2,"Horizon Beaumont, située au cœur de Beaumont (74160), propose un cadre de vie harmonieux où confort moderne et douceur environnementale se rencontrent naturellement. L'architecture privilégie des lig..."
25AEHQQ8DZ2U,2025-11-20T15:15:00Z,Beaumont,,74160,BUY,APARTMENT,449000,82.0,4,3,"Horizon Beaumont, située au cœur de Beaumont (74160), propose un cadre de vie harmonieux où confort moderne et douceur environnementale se rencontrent naturellement. L'architecture privilégie des lig..."
25DCC2SD6HV4,2025-11-20T15:15:00Z,Beaumont,,74160,BUY,APARTMENT,245000,32.0,1,,"Horizon Beaumont, située au cœur de Beaumont (74160), propose un cadre de vie harmonieux où confort moderne et douceur environnementale se rencontrent naturellement. L'architecture privilégie des lig..."
256DIZDHX8QA,2025-11-12T11:28:00Z,Perrignier,,74550,BUY,APARTMENT,313900,63.0,3,,"L'Écrin Nature Perrignier vous invite à découvrir un cadre de vie où la nature et le confort contemporain s'unissent harmonieusement. Le programme propose des logements intermédiaires, de 3 ou 4 pièc..."
25MXMJLZDK2C,2025-11-12T11:28:00Z,Perrignier,,74550,BUY,APARTMENT,367800,75.0,4,,"L'Écrin Nature Perrignier vous invite à découvrir un cadre de vie où la nature et le confort contemporain s'unissent harmonieusement. Le programme propose des logements intermédiaires, de 3 ou 4 pièc..."
257F7X22MVFA,2025-11-26T19:21:00Z,Frangy,,74270,BUY,HOUSE,699000,156.0,6,5,"M-OI Frangy vous propose à la vente cette charmante maison de 156m2, avec combles aménageables, sous-sol complet, piscine, garage double et studio indépendant à deux pas du centre. L'adresse du bien,..."
25AHN1AUIQA9,2025-11-10T15:26:00Z,Saint-Cergues,,74140,BUY,APARTMENT,414000,85.0,4,3,"Découvrez Perspective Saint-Cergues, une résidence neuve de standing idéalement située à Saint-Cergues, aux portes de la frontière suisse. Des appartements du studio au 5 pièces Les logements bénéfic..."
25ECEKS3PY4Q,2025-11-10T11:29:00Z,Saint-Cergues,,74140,BUY,APARTMENT,173000,26.0,1,,"Découvrez Perspective Saint-Cergues, une résidence neuve de standing idéalement située à Saint-Cergues, aux portes de la frontière suisse. Des appartements du studio au 5 pièces Les logements bénéfic..."
25MNYS872CXC,2025-11-10T11:29:00Z,Saint-Cergues,,74140,BUY,APARTMENT,317000,66.0,3,2,"Découvrez Perspective Saint-Cergues, une résidence neuve de standing idéalement située à Saint-Cergues, aux portes de la frontière suisse. Des appartements du studio au 5 pièces Les logements bénéfic..."
