id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25HEPVUJI34F,2025-11-25T02:48:00Z,Paris 15ème,Georges Brassens,75015,BUY,APARTMENT,929905.0,109.0,4,2,"Exclusivité SAS R&R Notaires Appartement familial 48 rue Vouillé, Paris 15 Découvrez ce vaste appartement de 4 pièces offrant 109 m² au sol (92 m² Carrez), situé au 9 étage d'un immeuble bien entrete..."
25F9DLUZGTVT,2025-11-19T15:21:00Z,Paris 14ème,Montsouris Dareau,75014,BUY,APARTMENT,699000.0,52.0,3,2,"Montsouris - rue Gazan Appartement traversant de prestige de 52,6 m² situé au 7e étage avec ascenseur, offrant un plan optimisé et des rangements intégrés pour un confort de vie optimal. Cet appartem..."
257MAAT3CXZB,2025-11-18T10:54:00Z,Paris 5ème,Val de Grace,75005,BUY,APARTMENT,1050000.0,42.25,2,1,"Au cœur du 5e arrondissement, rue du Pot de Fer, à deux pas de la rue Mouffetard et du Panthéon, se trouve cet appartement de 42,25 m² loi Carrez situé au deuxième étage d’un immeuble du XVIIe siècle..."
25U6UAY4F9QT,2025-11-19T17:25:00Z,Paris 17ème,Legendre-Lévis,75017,BUY,APARTMENT,1140000.0,71.0,3,2,"Au sein de la Rue de Rome, au cœur du quartier prisé des Batignolles, BR Immobilier vous propose au 10 € étage avec ascenseur un 3 pièces RÉNOVÉ de 75 m² loi Carrez avec BALCON et VUE SACRÉ-CŒUR. L'a..."
25K3N8PFQ85Q,2025-11-25T16:54:00Z,Paris 18ème,Clignancourt-Jules Joffrin,75018,BUY,APARTMENT,219000.0,20.0,1,,"Situé 5 minutes des métros Jules Joffrin, Marcadet - Poissonniers et Château Rouge (lignes 12 et 4), venez découvrir ce grand studio de 19,41m² au sol et 19,02m² loi carrez. Vendu tout équipé et réno..."
2549Y1YBJ2BM,2025-11-19T18:29:00Z,Paris 15ème,Vaugirard-Parc des Expositions,75015,BUY,APARTMENT,1122000.0,120.0,5,3,"Le Cabinet BR Immobilier vous propose ce SUPERBE APPARTEMENT FAMILIAL de 120 m², situé au 5ème ÉTAGE avec ASCENSEUR au sein d'une RÉSIDENCE DE STANDING, sécurisée et parfaitement entretenue, disposan..."
25XVI88CXL7C,2025-11-28T08:26:00Z,Paris 15ème,Emeriau-Zola,75015,BUY,APARTMENT,295000.0,30.0,1,,SECTEUR BEAUGRENELLE Oddsen vous propose à la vente cet appartement situé au 8éme étage d’une copropriété parfaitement entretenue avec ascenseur offrant une vue dégagée sur le quartier de beaugrenell...
25Q62KM195SM,2025-11-28T18:57:00Z,Paris 15ème,,75015,BUY,APARTMENT,945000.0,108.72,4,3,"DE LA COUR AU JARDIN vous présente en EXCLUSIVITÉ ce bel appartement familial traversant de 107,14 m² Carrez, situé en rez-de-chaussée, au sein d'une copropriété récente (1968), parfaitement entreten..."
252E2F2Z25PJ,2025-11-29T17:42:00Z,Paris 10ème,Porte Saint Denis-Paradis,75010,BUY,APARTMENT,1420500.0,129.86,5,3,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service immobilier d'exception. Découvrez une présentation soignée de ce bien : des photos professionnelles, un plan détaillé et une ..."
257EMWFRSMNU,2025-11-20T20:07:00Z,Paris 14ème,Pernety,75014,BUY,APARTMENT,700000.0,75.0,3,2,"75014 - PARIS - PERNETY - 3 PIÈCES - 2 CHAMBRES - 75.0 M² - UN APPARTEMENT LUMINEUX AVEC BALCON efficity, l'agence leader de l'estimation en ligne, vous propose : Appartement 3 Pièces – 75 m² + Balco..."
25HDMICMA563,2025-11-14T18:43:00Z,Paris 5ème,Sorbonne,75005,BUY,APARTMENT,270000.0,17.0,1,,"Situé rue Blainville, dans un emplacement d'exception à deux pas de la célèbre Place de la Contrescarpe et de la Rue Mouffetard, ce studio bénéficie d'un cadre de vie unique, à moins de 10MN À PIED D..."
