id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25YXL3LGPH9C,2025-11-25T19:15:00Z,Bihorel,Le Chapitre,76420,BUY,APARTMENT,173000.0,44.0,2,,"Nature, design et art de vivre : l'équilibre parfait. À deux pas de Rouen, dans un quartier calme et parfaitement connecté, découvrez une résidence qui réinvente le quotidien. Du T1 au T4, chaque app..."
25LEZGLWZLZQ,2025-11-25T19:15:00Z,Bihorel,Le Chapitre,76420,BUY,APARTMENT,160000.0,34.0,1,,"Nature, design et art de vivre : l'équilibre parfait. À deux pas de Rouen, dans un quartier calme et parfaitement connecté, découvrez une résidence qui réinvente le quotidien. Du T1 au T4, chaque app..."
25J7TI7C47K6,2025-06-16T14:32:00Z,Duclair,,76480,BUY,APARTMENT,210000.0,59.0,2,1,"Un programme rare en cœur de ville, à découvrir sans attendre. idéal pour y vivre sereinement, ou bien y investir intelligemment. Situé à deux pas des commerces et des bords de Seine, découvrez ""Les ..."
25ACA7JMKDZD,2025-06-16T14:32:00Z,Duclair,,76480,BUY,APARTMENT,264000.0,78.7,3,2,"Un programme rare en cœur de ville, à découvrir sans attendre. idéal pour y vivre sereinement, ou bien y investir intelligemment. Situé à deux pas des commerces et des bords de Seine, découvrez ""Les ..."
259I6WWLFS5X,2025-06-28T06:12:00Z,Rouen,Saint Clément-Jardin des Plantes-Grammont,76100,BUY,APARTMENT,159000.0,38.9,2,1,"A Rouen quartier Saint-Clément, l'accès à la propriété n'a jamais été aussi accessible! Achetez sans apport(1) + 0 Frais avant d'emménager (1)+ Seulement 500 € à la réservation (1). Au sud de Rouen, ..."
25RBUM2VJ5R2,2025-04-02T12:56:00Z,Rouen,Saint Clément-Jardin des Plantes-Grammont,76100,BUY,APARTMENT,145000.0,28.14,1,,"A Rouen quartier Saint-Clément, l'accès à la propriété n'a jamais été aussi accessible! Achetez sans apport(1) + 0 Frais avant d'emménager (1)+ Seulement 500 € à la réservation (1). Au sud de Rouen, ..."
256CIDQUF6GN,2025-11-28T11:09:00Z,Le Havre,Centre Ville,76600,BUY,APARTMENT,192900.0,45.0,2,1,"Vivez l'expérience d'un T2 pensé pour la vie d'aujourd'hui. Une pièce à vivre claire et ouverte invite à la convivialité, tandis que la chambre offre un espace intime pour se reposer. La cuisine prat..."
25278LHKIIEY,2025-06-11T10:15:00Z,Bois-Guillaume,Rue Herbeuse,76230,BUY,APARTMENT,204500.0,40.75,2,,"Ce projet immobilier neuf, implanté sur les hauteurs d’une commune prisée aux portes de Rouen, propose une résidence moderne composée d’appartements du studio au 4 pièces, avec livraison attendue au ..."
251KFN8H4DRI,2025-09-05T06:15:00Z,Rouen,Saint Clément-Jardin des Plantes-Grammont,76100,BUY,APARTMENT,214000.0,57.68,3,2,"A Rouen quartier Saint-Clément, l'accès à la propriété n'a jamais été aussi accessible! Achetez sans apport(1) + 0 Frais avant d'emménager (1)+ Seulement 500 € à la réservation (1). Au sud de Rouen, ..."
2575FGNQWKEX,2025-11-25T19:15:00Z,Rouen,Saint Clément-Jardin des Plantes-Grammont,76100,BUY,APARTMENT,258000.0,77.0,4,,"Au sud de Rouen, cette résidence s'intègre dans un écoquartier pensé pour offrir un cadre de vie pratique et verdoyant. Les transports, commerces et écoles sont accessibles en quelques minutes, tandi..."
25Q9NMUU5CZK,2025-11-26T01:04:00Z,Le Havre,Côte Est-Soquence,76600,BUY,APARTMENT,105000.0,54.03,2,1,"EXCLU SNG! Appartement T2 situé dans le quartier Graville, Le Havre 76600. Ce bien est composé d'une entrée, d'un séjour avec coin cuisine, d'une chambre, une salle de bain et d'un WC indépendant. Pl..."
25BC9EY4XXAW,2025-07-31T18:27:00Z,Bois-Guillaume,Le Mont Fortin,76230,BUY,APARTMENT,213000.0,46.06,2,1,"Pour vivre ou investir dans la métropole Rouennaise, découvrez sans attendre ce nouveau projet d'exception à Bois-Guillaume. Sur une partie de l'ancien site du CHU, Kaufman & Broad vous propose une l..."
25F2Y9NZNBEA,2025-10-06T07:17:00Z,Rouen,Vieux Marché-Cathédrale,76000,BUY,APARTMENT,140654.0,40.0,2,1,"À Rouen, sur l’axe stratégique de la Rue de Paris, découvrez une résidence neuve à taille humaine, au cœur d’un quartier résidentiel calme et verdoyant. Elle propose des appartements du 2 au 4 pièces..."
25CY89VZTGC6,2025-11-25T19:15:00Z,Bihorel,Le Chapitre,76420,BUY,APARTMENT,262000.0,58.0,3,,"Nature, design et art de vivre : l'équilibre parfait. À deux pas de Rouen, dans un quartier calme et parfaitement connecté, découvrez une résidence qui réinvente le quotidien. Du T1 au T4, chaque app..."
