id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
2597MEXQUBYZ,2025-11-03T15:26:00Z,Montévrain,,77144,BUY,APARTMENT,200000.0,39.0,2,,"Coeur MONTEVRAIN dévoile une architecture contemporaine élégante, composée de volumes harmonieux et d'espaces ouverts sur un jardin paysager central, conçu comme un véritable lieu de respiration en c..."
253Z8ZUJJRS4,2025-11-03T15:26:00Z,Montévrain,,77144,BUY,APARTMENT,458200.0,84.0,4,,"Coeur MONTEVRAIN dévoile une architecture contemporaine élégante, composée de volumes harmonieux et d'espaces ouverts sur un jardin paysager central, conçu comme un véritable lieu de respiration en c..."
25UNCAJ236HD,2025-11-03T15:26:00Z,Montévrain,,77144,BUY,APARTMENT,287000.0,62.0,3,,"Coeur MONTEVRAIN dévoile une architecture contemporaine élégante, composée de volumes harmonieux et d'espaces ouverts sur un jardin paysager central, conçu comme un véritable lieu de respiration en c..."
25ML389KMW1G,2025-11-03T15:26:00Z,Montévrain,,77144,BUY,APARTMENT,518200.0,103.0,5,,"Coeur MONTEVRAIN dévoile une architecture contemporaine élégante, composée de volumes harmonieux et d'espaces ouverts sur un jardin paysager central, conçu comme un véritable lieu de respiration en c..."
259FIH4WD2EB,2025-11-28T15:23:00Z,Bussy-Saint-Georges,Centre Ville Sud Ouest,77600,BUY,APARTMENT,280000.0,43.0,2,,"Bienvenue à Bussy-sur-Georges, dans une résidence où confort moderne et charme authentique se rencontrent. Découvrez nos T2 lumineux, tous avec espace extérieur, pensés pour votre bien-être au quotid..."
24VFEHYH3BDZ,2024-11-07T17:29:00Z,Serris,,77700,BUY,APARTMENT,229000.0,35.11,1,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Serris est une ville de l'agglomération de Val d'Europe, pôle ma..."
25BDZRWIN1HU,2025-04-02T05:30:00Z,Meaux,,77100,BUY,APARTMENT,239000.0,61.6,3,2,"Notre commercial, Frédéric est directement joignable directement au 06 51 87 55 80. Nouvelle résidence de charme ""VILLENOY RIVES"", au 11 rue Sadi Carnot à Villenoy, Idéalement située au bord du Canal..."
256PST4E5DRK,2025-04-02T05:30:00Z,Meaux,,77100,BUY,APARTMENT,191000.0,40.6,2,1,"Notre commercial, Frédéric est directement joignable directement au 06 51 87 55 80. Nouvelle résidence de charme ""VILLENOY RIVES"", au 11 rue Sadi Carnot à Villenoy, Idéalement située au bord du Canal..."
252LS3KK5X69,2025-10-18T12:38:00Z,Serris,,77700,BUY,APARTMENT,289000.0,45.23,2,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Serris est une ville de l'agglomération de Val d'Europe, pôle ma..."
2444Z623J8VA,2024-12-20T12:11:00Z,Lagny-sur-Marne,Tassigny-Leclerc Centre,77400,BUY,APARTMENT,228000.0,67.76,3,,BLACK FRIDAY IMMOBILIER à Okaeri : Profitez d'une remise de 5 000 euros sur votre logement* Et si c'était le moment de devenir propriétaire à prix réduit grâce au BRS** ? À seulement 35 min de Paris ...
25PVEIBFJ42V,2025-09-05T14:24:00Z,Chessy,,77700,BUY,APARTMENT,345000.0,67.0,3,2,"Inspiré de l'Art Déco, le programme Studio & Congrès s'intègre harmonieusement dans le quartier des Studios et des Congrès à Chessy. Ses façades arrondies et ses volumes travaillés rappellent l'éléga..."
251ITAIZW7MR,2025-09-05T14:24:00Z,Chessy,,77700,BUY,APARTMENT,416000.0,80.0,4,3,"Inspiré de l'Art Déco, le programme Studio & Congrès s'intègre harmonieusement dans le quartier des Studios et des Congrès à Chessy. Ses façades arrondies et ses volumes travaillés rappellent l'éléga..."
252MCC2Y6G45,2025-09-05T14:24:00Z,Chessy,,77700,BUY,APARTMENT,278000.0,45.0,2,1,"Inspiré de l'Art Déco, le programme Studio & Congrès s'intègre harmonieusement dans le quartier des Studios et des Congrès à Chessy. Ses façades arrondies et ses volumes travaillés rappellent l'éléga..."
24BQDH8FVT4P,2024-12-03T19:31:00Z,Bussy Saint Georges,Centre Ville Sud Ouest,77600,BUY,APARTMENT,399900.0,82.5,4,3,"Située à Bussy-Saint-Georges, la résidence “Seeko” propose des appartements du 2 au 5 pièces ainsi que des villas neuves 5 pièces. Chaque logement offre des finitions de qualité : - Peinture lisse ; ..."
25AB4H9T1QQT,2025-11-28T15:24:00Z,Ozoir-la-Ferrière,,77330,BUY,APARTMENT,262000.0,62.0,3,,"Nous vous proposons des appartements T3 modernes et spacieux, parfaits pour les familles ou les couples à la recherche de confort et de tranquillité. Ces logements sont conçus avec des finitions de q..."
25HGA9TTI8HC,2025-09-04T12:26:00Z,Melun,Montaigu Nord Est,77000,BUY,APARTMENT,103935.96,22.8,1,,ACHETEZ VOTRE APPARTEMENT NEUF A MELUN Des appartements neufs au sein de l'éco-quartier WOODI de Melun TRAVAUX EN COURS !! Découvrez la nouvelle réalisation neuve de Crédit Agricole Immobilier à Melu...
