id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25RYFL9J3L8Z,2025-11-27T07:50:00Z,Chambourcy,,78240,BUY,APARTMENT,221000,44.52,2,1,"Située à l'ouest de Paris, la ville de?Chambourcy (78240) incarne un art de vivre paisible : petite commune d'environ 5 €800 habitants, nichée entre verdure et zones résidentielles, à seulement 3 €km..."
25RQMNADQ2BC,2025-11-27T07:50:00Z,Chambourcy,,78240,BUY,APARTMENT,306000,64.13,3,2,"Située à l'ouest de Paris, la ville de?Chambourcy (78240) incarne un art de vivre paisible : petite commune d'environ 5 €800 habitants, nichée entre verdure et zones résidentielles, à seulement 3 €km..."
25FQL9Y4RG37,2025-11-13T11:34:00Z,Mantes-la-Jolie,Collegiale,78200,BUY,APARTMENT,158491,32.0,1,,Programme immobilier neuf : Cœur Mantes – Mantes-la-Jolie (78200) VOTRE CUISINE OFFERTE + JUSQU'À 13 000 EUROS DE REMISE + VOS FRAIS DE NOTAIRE OFFERTS* Une adresse d'exception face à la Seine ! La r...
25X456IIKRNB,2025-11-19T00:29:00Z,La Queue-les-Yvelines,,78940,BUY,HOUSE,435000,122.0,6,4,"Village limitrophe La Queue-Les-Yvelines, venez découvrir cette maison familiale située au fond d'une impasse paisible et sans aucun vis-à-vis. Construite en 1986 sur vide sanitaire, elle offre une s..."
258Q7BHKHX2A,2025-11-14T11:21:00Z,Mantes-la-Jolie,Collegiale,78200,BUY,APARTMENT,302075,82.0,4,3,Programme immobilier neuf : Cœur Mantes – Mantes-la-Jolie (78200) VOTRE CUISINE OFFERTE + JUSQU'À 13 000 EUROS DE REMISE + VOS FRAIS DE NOTAIRE OFFERTS* Une adresse d'exception face à la Seine ! La r...
25318BF7WPT4,2025-11-13T15:17:00Z,Mantes-la-Jolie,Collegiale,78200,BUY,APARTMENT,200741,62.0,3,2,Programme immobilier neuf : Cœur Mantes – Mantes-la-Jolie (78200) VOTRE CUISINE OFFERTE + JUSQU'À 13 000 EUROS DE REMISE + VOS FRAIS DE NOTAIRE OFFERTS* Une adresse d'exception face à la Seine ! La r...
259IUZB6MNDJ,2025-11-13T11:33:00Z,Mantes-la-Jolie,Collegiale,78200,BUY,APARTMENT,198900,43.0,2,1,Programme immobilier neuf : Cœur Mantes – Mantes-la-Jolie (78200) VOTRE CUISINE OFFERTE + JUSQU'À 13 000 EUROS DE REMISE + VOS FRAIS DE NOTAIRE OFFERTS* Une adresse d'exception face à la Seine ! La r...
25248GVY4MMR,2025-11-20T18:38:00Z,Le Vésinet,Ibis,78110,BUY,APARTMENT,495000,84.0,4,3,"En EXCLUSIVITÉ chez SIGNATURE Le Vésinet, nous vous faisons découvrir en hyper-centre du Vésinet cet appartement de 5 pièces d'une surface de 84 m². Niché au sein d'une résidence boisée, calme et par..."
25DEWMYABQD5,2025-11-25T19:15:00Z,Chatou,Les Castors,78400,BUY,APARTMENT,489000,64.0,3,2,"Le T3 qui surpasse toutes vos attentes ! Lumineux, élégant et résolument moderne, ce T3 n'est pas qu'un appartement… c'est la référence en matière de confort et de style. Son séjour ouvert sur balcon..."
251SZT3CC74P,2025-11-14T11:21:00Z,Mantes-la-Jolie,Collegiale,78200,BUY,APARTMENT,394900,93.0,5,4,Programme immobilier neuf : Cœur Mantes – Mantes-la-Jolie (78200) VOTRE CUISINE OFFERTE + JUSQU'À 13 000 EUROS DE REMISE + VOS FRAIS DE NOTAIRE OFFERTS* Une adresse d'exception face à la Seine ! La r...
25EM45J6GSQM,2025-11-27T07:50:00Z,Chambourcy,,78240,BUY,APARTMENT,373000,84.41,4,3,"Située à l'ouest de Paris, la ville de?Chambourcy (78240) incarne un art de vivre paisible : petite commune d'environ 5 €800 habitants, nichée entre verdure et zones résidentielles, à seulement 3 €km..."
25CDDJVVW4Q5,2025-11-28T14:47:00Z,Versailles,Notre Dame,78000,BUY,APARTMENT,515000,73.0,3,2,"78000 - VERSAILLES - QUARTIER NOTRE DAME - 3 PIECES - 2 CHAMBRES - 73 m² - LOCALISATION PRIVILEGIEE - Efficity, Michelle Paques, l'agence qui estime votre bien en ligne, vous propose ce charmant appa..."
25CJMG5HI21L,2025-11-24T10:53:00Z,Versailles,Montreuil,78000,BUY,APARTMENT,560000,90.0,3,2,"Votre agence immobilière Appartissy vous propose un appartement à vendre de 4 pièces à Versailles à proximité du RER. Au dernier étage d'une résidence de standing, situé Av de Paris, vous découvrirez..."
257V9ZSV7E6S,2025-11-26T15:48:00Z,Sartrouville,La Croix Blanche-Les Richebourgs,78500,BUY,HOUSE,639000,115.0,6,4,"Optimhome vous invite à découvrir cette magnifique maison en meulière de 115 m² édifiée sur un terrain de 401 m², dans un environnement calme et verdoyant, au cœur d'un quartier résidentiel de Sartro..."
256FFU34EVHT,2025-11-28T16:43:00Z,La Celle-Saint-Cloud,La Jonchère-Les Sablons,78170,BUY,APARTMENT,315000,73.0,3,2,Nouveauté ! L’Agence Bidault Immobilier vous présente un bel appartement 3/4 pièces (2 chambres) rénové intégralement situé au coeur de la Résidence Élysée II à La Celle-Saint-Cloud. Situé au troisiè...
256ENPYFQMBV,2025-11-27T07:50:00Z,Chambourcy,,78240,BUY,APARTMENT,487000,109.23,5,4,"Située à l'ouest de Paris, la ville de?Chambourcy (78240) incarne un art de vivre paisible : petite commune d'environ 5 €800 habitants, nichée entre verdure et zones résidentielles, à seulement 3 €km..."
253WPFCWQV2F,2025-11-25T18:29:00Z,Le Vesinet,Ibis,78110,BUY,APARTMENT,649000,107.0,5,3,"SIGNATURE Le Vésinet vous présente un dernier étage baigné de lumière face au parc des Ibis Il est des lieux rares où le charme opère dès les premières secondes. Le parc des Ibis, véritable écrin de ..."
