id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25DQ1KS6NQ9Z,2025-11-27T12:49:00Z,Saint-Étienne-de-Serre,,07190,BUY,HOUSE,245000,85.0,6,3,"Située dans un hameau paisible, sans vis-à-vis, cette maison en pierre de 5 pièces offre une vue magnifique sur la vallée de l'Auzène et un cadre de vie calme et verdoyant. Elle se compose d'une cuis..."
24M6DH2ESL98,2024-04-12T10:41:00Z,Charmes-sur-Rhône,,07800,BUY,APARTMENT,175000,48.91,2,1,"Profitez d'une résidence entre ville et nature ! Une douce harmonie dans un écrin de verdure ! Proche du centre du village de Charmes-sur-Rhône, notre nouveau programme nommé ""Le Chant du Rhône"" offr..."
25CJBC533S38,2025-09-23T22:42:00Z,Sarras,,07370,BUY,HOUSE,257000,130.0,4,3,"Belle maison de village dans le centre de Sarras - EXCLUSIVITE : Beaucoup de charme pour cette maison de village en pierre, rénovée avec goût d'une surface d'environ 120 m2 habitable. Comprenant une ..."
24M87ETFR83G,2024-04-12T10:41:00Z,Charmes-sur-Rhône,,07800,BUY,APARTMENT,200000,65.67,3,2,"Profitez d'une résidence entre ville et nature ! Une douce harmonie dans un écrin de verdure ! Proche du centre du village de Charmes-sur-Rhône, notre nouveau programme nommé ""Le Chant du Rhône"" offr..."
25JZZCWW6ME3,2025-12-01T15:04:00Z,Tournon-sur-Rhône,,07300,BUY,APARTMENT,74900,44.0,2,1,T2 de 38 m² -Nous vous proposons cet appartement d'environ 44 m² (38 m² carrez) au 2ème et dernier étage d'une petite copropriété aux très faibles charges. Situé dans un petit immeuble sur une rue ca...
257X1VG8DU7A,2025-10-24T20:44:00Z,Lespéron,,07660,BUY,HOUSE,168000,60.0,5,3,"07660 LESPERON - MAISON DE VILLAGE DE 5 PIECES - CALME - GARAGE Optimhome vous présente cette charmante maison de village en pierre. Charme et authenticité – Située dans un environnement calme, sans ..."
24KKXBUVAEF6,2024-04-12T10:41:00Z,Charmes-sur-Rhône,,07800,BUY,APARTMENT,265000,93.18,4,3,"Profitez d'une résidence entre ville et nature ! Une douce harmonie dans un écrin de verdure ! Proche du centre du village de Charmes-sur-Rhône, notre nouveau programme nommé ""Le Chant du Rhône"" offr..."
25KC9ZF8XQPP,2024-06-17T07:48:00Z,Peaugres,,07340,BUY,APARTMENT,202135,67.49,3,2,"À Peaugres, le charme rural s’allie à la praticité quotidienne. Nichée dans un écrin de verdure, Peaugres offre un cadre de vie idyllique, propice à la détente et à la convivialité. Entre collines ve..."
25Y2H735ZCRH,2025-11-03T00:14:00Z,Cruas,,07350,BUY,PROJECT,185000,,3,2,"CRUAS Au cœur de la vallée du Rhône, dans un cadre naturel exceptionnel, la commune de Cruas accueille un nouveau programme de qualité : Les Berges de la Lône. Ce projet vous propose des parcelles en..."
25UW5CD2KN1L,2025-09-19T11:55:00Z,Saint-Pierre-Saint-Jean,,07140,BUY,HOUSE,560000,230.0,9,6,"Un havre de paix au cœur des monts d'Ardèche, à proximité des Vans. Située au calme absolu, dans un environnement préservé, cette propriété de charme offre 230 m² habitables au centre de 28 672 m² de..."
249AGLDKNZ12,2024-07-08T12:00:00Z,Saint-Péray,Est,07130,BUY,APARTMENT,180229,61.29,3,3,"Conçue dans un esprit résolument contemporain correspondant aux aspirations et exigences actuelles, SCILLA dévoile une architecture de caractère où le soleil est une source d'inspiration. La façade à..."
25A5LJ6FKK2U,2025-09-17T16:56:00Z,Thueyts,,07330,BUY,HOUSE,325000,191.0,10,7,"Au calme et à l'abri des regards, dans un quartier résidentiel à l'environnement privilégié, grande maison de 191 m2 - 6 chambres et appartement indépendant - sur un terrain clos et arboré de 2 427 m..."
25NP6APUZ5A9,2025-11-03T00:14:00Z,Privas,Centre Villle,07000,BUY,PROJECT,218400,,4,3,"PRIVAS Situé à quelques minutes du centre-ville, ce terrain plat de 420 m² offre une belle opportunité pour concrétiser votre projet de construction, dans un environnement paisible et verdoyant. Ce t..."
24KW3ED9XUUE,2023-12-07T06:42:00Z,Annonay,Centre Ville,07100,BUY,APARTMENT,183400,62.85,3,2,"A ANNONAY CENTRE VILLE, Venez découvrir notre nouvelle résidence minimum 30% moins cher que le prix du marché neuf ! * Niché au cœur de la ville d’Annonay « L’envol » vous propose 24 appartements du ..."
25CJ6X8VLKKE,2025-04-02T12:38:00Z,Tournon-sur-Rhône,La Ville,07300,BUY,APARTMENT,141200,44.35,2,1,"Au coeur de tournon sur la place du marché, nouvelle résidence de 46 appartements du t2 au t5 avec garage."
24SG3YNYWN7B,2024-07-08T12:00:00Z,Saint-Péray,Est,07130,BUY,APARTMENT,259354,89.18,4,3,"Conçue dans un esprit résolument contemporain correspondant aux aspirations et exigences actuelles, SCILLA dévoile une architecture de caractère où le soleil est une source d'inspiration. La façade à..."
249W56SXCTER,2024-02-28T11:52:00Z,Chomérac,,07210,BUY,PROJECT,173400,,5,2,"Terrain + maison : 173 400€ Terrain de 285m² : Entièrement viabilisé situé sur la commune de Donzère (20 min de Montélimar) 59 900€ (hors frais de notaire et taxe) Vu avec notre partenaire foncier, s..."
25WEM4Z2MHNA,2025-10-08T11:56:00Z,Saint-Privat,,07200,BUY,PROJECT,226500,,4,3,"A propos des prestations : Climatisation réversible, wc indépendant, volets bois et volets roulant avec domotique, large choix de grands carrelages et faïences, etc.. !! Prestations entièrement perso..."
25GDULUHV3VW,2025-10-08T10:18:00Z,Villeneuve-de-Berg,,07170,BUY,PROJECT,242000,,4,3,"A propos des prestations : Climatisation réversible, wc indépendant, volets bois et volets roulant avec domotique, large choix de grands carrelages et faïences, etc.. !! Prestations entièrement perso..."
25URTHHK5Y7S,2025-04-02T12:38:00Z,Tournon-sur-Rhône,La Ville,07300,BUY,APARTMENT,197400,62.58,3,2,"Au coeur de tournon sur la place du marché, nouvelle résidence de 46 appartements du t2 au t5 avec garage."
24DZFMRLIT82,2023-12-07T06:42:00Z,Annonay,Centre Ville,07100,BUY,APARTMENT,327600,82.22,4,3,"A ANNONAY CENTRE VILLE, Venez découvrir notre nouvelle résidence minimum 30% moins cher que le prix du marché neuf ! * Niché au cœur de la ville d’Annonay « L’envol » vous propose 24 appartements du ..."
