id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25XYC8UF55BB,2025-11-21T00:57:00Z,Amiens,Faubourg de Hem,80000,BUY,APARTMENT,88000.0,38.13,2,1,"Découvrez ce charmant appartement T2 de 38.13 m², situé au 2ème étage, qui allie élégance et fonctionnalité. Non meublé, il offre une toile blanche parfaite pour créer votre espace de vie idéal. Imag..."
25SXTZG23E7X,2022-02-24T07:10:00Z,Amiens,Saint Honoré-Jeanne d'Arc,80000,BUY,APARTMENT,275999.6,61.75,3,2,"Découvrez la résidence Empreinte... Située à mi-distance du centre­-ville, de l'hôpital Amiens ­Sud et de l'université de Picardie, la résidence Empreinte s'installe entre ville et campagne. Elle rev..."
25CHFDUGT92K,2022-02-24T07:10:00Z,Amiens,Saint Honoré-Jeanne d'Arc,80000,BUY,HOUSE,289000.4,71.5,3,2,"Découvrez la résidence Empreinte... Située à mi-distance du centre­-ville, de l'hôpital Amiens ­Sud et de l'université de Picardie, la résidence Empreinte s'installe entre ville et campagne. Elle rev..."
2516ASF9PRWC,2022-02-24T07:10:00Z,Amiens,Saint Honoré-Jeanne d'Arc,80000,BUY,HOUSE,338999.6,85.57,4,3,"Découvrez la résidence Empreinte... Située à mi-distance du centre­-ville, de l'hôpital Amiens ­Sud et de l'université de Picardie, la résidence Empreinte s'installe entre ville et campagne. Elle rev..."
25WGT88J8N35,2022-02-24T07:10:00Z,Amiens,Saint Honoré-Jeanne d'Arc,80000,BUY,APARTMENT,220000.0,46.77,2,1,"Découvrez la résidence Empreinte... Située à mi-distance du centre­-ville, de l'hôpital Amiens ­Sud et de l'université de Picardie, la résidence Empreinte s'installe entre ville et campagne. Elle rev..."
254MZ5HWK4FR,2022-02-24T07:10:00Z,Amiens,Saint Honoré-Jeanne d'Arc,80000,BUY,APARTMENT,399000.0,91.51,4,3,"Découvrez la résidence Empreinte... Située à mi-distance du centre­-ville, de l'hôpital Amiens ­Sud et de l'université de Picardie, la résidence Empreinte s'installe entre ville et campagne. Elle rev..."
25ZHI2KQP255,2025-11-25T16:28:00Z,Cappy,,80340,BUY,PROJECT,169000.0,,3,2,"À vendre : Projet maison + terrain à Cappy (80340) – Modèle Family Home 92 avec Résidences Picardes À proximité d'Albert et de Bray-sur-Somme, dans la charmante commune de Cappy, découvrez ce projet ..."
25YEH8K72BPD,2025-11-05T18:19:00Z,Amiens,Saint Honoré-Jeanne d'Arc,80000,BUY,APARTMENT,171000.0,35.0,1,,"Jusqu'à 2 000 euros de remise/pièce + Frais de notaire offerts*LOGEMENTS NEUFS À AMIENS SUD (80)Découvrez Résidence Hortea, le nouveau programme du groupe Pichet, à proximité de l'université et de l'..."
25RA9RRS9Y92,2025-11-14T01:38:00Z,Amiens,Sainte Anne-Faubourg,80000,BUY,HOUSE,1255000.0,340.0,7,5,"Amiens, quartier St Acheul, bâtisse historique de 340 m² habitables , entièrement rénovée. Ce bien offre la fusion réussie de l'architecture d'époque et du design contemporain, sans aucun travaux à p..."
251E144LTXWA,2025-11-05T18:19:00Z,Amiens,Saint Honoré-Jeanne d'Arc,80000,BUY,APARTMENT,174000.0,43.5,2,,"Jusqu'à 2 000 euros de remise/pièce + Frais de notaire offerts*LOGEMENTS NEUFS À AMIENS SUD (80)Découvrez Résidence Hortea, le nouveau programme du groupe Pichet, à proximité de l'université et de l'..."
