id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25NJNZ213JV9,2025-10-10T00:33:00Z,Montauban,Falguieres,82000,BUY,HOUSE,189000,85.0,4,3,"EXCLUSIVITÉ – TOULOUSAINE T4 DE 85 M² – SECTEUR FALGUIÈRES, MONTAUBAN Venez découvrir cette charmante maison sur une parcelle de 2500m2, située au calme, avec une vue dégagée sur les champs, à seulem..."
259AK5R3NSLD,2025-09-19T23:56:00Z,Grisolles,,82170,BUY,HOUSE,390000,275.0,9,5,"Maison familiale avec grand jardin arboré de 600 m², entièrement sans vis-à-vis. Idéalement située au coeur de Grisolles, une commune dynamique et agréable à vivre, cette maison pleine de cachet offr..."
25GRID2SP1WJ,2025-10-21T23:18:00Z,Montauban,Fonneuve,82000,BUY,HOUSE,348000,220.0,8,7,"IDÉALE POUR GRANDE FAMILLE OU ACTIVITÉ LIBÉRALE – MAISON 220 M², 8 PIÈCES – MONTAUBAN Venez découvrir cette charmante maison de 1969, rénovée en 2014, sur une parcelle d'environ 1 800 m². Idéalement ..."
25TF3EQCDQQE,2025-11-14T18:37:00Z,Montauban,Falguieres,82000,BUY,HOUSE,320000,125.0,5,3,Zefir vous propose cette maison de plain-pied à Montauban. Caractéristiques Principales : Surface : 125 m² Nombre de pièces : 5 Séjour lumineux avec accès à la terrasse et au jardin Cuisine ouverte s...
25SW8N144SAI,2025-10-03T00:07:00Z,Montbartier,,82700,BUY,HOUSE,259800,113.0,6,4,Maison entièrement de plain-pied sur la commune de Montbartier Cette jolie maison de 113 m2 est composée : - d'un grand séjour traversant de plus de 50m2 avec cuisine ouverte - d'une buanderie/ arriè...
25YBY9DPAZEK,2025-11-01T00:42:00Z,Montauban,Falguieres,82000,BUY,HOUSE,295000,140.0,5,4,"VILLA T5 – 140 m² – SECTEUR FALGUIÈRES, MONTAUBAN Venez découvrir cette charmante maison de 5 pièces, située au calme, à seulement 3 minutes des écoles et de l'arrêt de bus, et à 10 minutes des comme..."
25W7E3JZ6U2F,2025-11-28T19:06:00Z,Grisolles,,82170,BUY,PROJECT,198700,,4,3,"Située au cœur de Grisolles (82170), cette maison contemporaine de 90 m² à bâtir sur un terrain viabilisé de 535 m² offre un cadre de vie pratique et recherché, à proximité immédiate des écoles, des ..."
25IDHWMS2CPZ,2025-10-01T11:47:00Z,Grisolles,,82170,BUY,HOUSE,457000,160.0,8,5,"Maison contemporaine en plein coeur de Grisolles, à 10mn de Grenade Située dans un environnement calme et sans vis-à-vis, cette maison contemporaine de 160 m² offre de beaux volumes et un cadre de vi..."
2559YET7L2QR,2025-10-01T08:50:00Z,Montbartier,,82700,BUY,PROJECT,230000,,4,3,"Ne cherchez plus, votre projet de vie prend forme avec cette superbe maison neuve de 100 m², proposée par Demeures d'Occitanie ! Implantée sur un terrain viabilisé de 450 m², à deux pas des écoles, c..."
25WNAJAPD7XG,2025-10-01T08:50:00Z,Montauban,Pomponne,82000,BUY,PROJECT,185000,,4,3,"Offrez-vous l'élégance et le confort d'une maison contemporaine de 90 m², conçue pour allier modernité et raffinement. Implantée sur un terrain viabilisé de 400 m², idéalement situé à proximité des é..."
257SKUG24WEL,2025-10-01T08:50:00Z,Montbartier,,82700,BUY,PROJECT,265000,,5,4,"Ce projet de maison contemporaine de 115 m², proposé par Demeures d'Occitanie, se distingue par son implantation sur un terrain viabilisé de 600 m², idéalement situé à proximité des écoles, commerces..."
25NZIJWWQ7X2,2025-04-29T20:14:00Z,Montauban,Centre Ville,82000,BUY,HOUSE,379000,184.0,9,5,"À vendre – Maison de charme 9 pièces, 184 m² –Centre ville de Montauban Située dans une rue calme à deux pas des commerces et du centre-ville de Montauban, cette belle maison de 184 m², traversante, ..."
25P47642365I,2025-10-14T23:18:00Z,Montauban,Lalande,82000,BUY,HOUSE,295000,165.0,5,3,"RARE – MAISON T4 DE 165 M² SUR UNE PARCELLE DE 700 M² – CENTRE-VILLE DE MONTAUBAN Venez découvrir cette charmante maison idéalement située dans le secteur Camille Delthil, à proximité immédiate de to..."
25LSVYPFBY46,2025-08-22T09:54:00Z,Escazeaux,,82500,BUY,HOUSE,230000,128.0,4,3,"A proximité de Beaumont de Lomagne et Verdun/Garonne À vendre à Escazeaux, cette charmante maison de 128 m² de plain pied, sur un terrain de plus d'un hectare avec vue sur les Pyrénées. Cette proprié..."
256LW81MSNLX,2025-10-03T12:27:00Z,Saint Antonin Noble Val,,82140,BUY,HOUSE,720000,580.0,16,10,"Christophe Bédé vous propose au coeur du village médiéval et touristique de Saint-Antonin-Noble-Val, joyau des Gorges de l'Aveyron, une auguste propriété, ancien hotel particulier, patrimoine du XIVé..."
