id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25FN4UYUSNYM,2025-11-19T12:12:00Z,Fayence,,83440,BUY,APARTMENT,389000.0,95.0,4,3,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service d'exception. Découvrez une présentation soignée de ce bien : photos professionnelles, plan détaillé et visite virtuelle immer..."
25UB6QU7PS9F,2025-11-10T11:29:00Z,Fréjus,,83600,BUY,APARTMENT,612000.0,79.0,4,,"COEUR FRÉJUS se situe à quelques minutes des plages et du cœur historique de Fréjus, dans un environnement lumineux et vivant où la douceur méditerranéenne se ressent à chaque instant. Ici, le quotid..."
254V3BJWN9BQ,2025-11-10T11:29:00Z,Fréjus,,83600,BUY,APARTMENT,599000.0,79.0,3,,"COEUR FRÉJUS se situe à quelques minutes des plages et du cœur historique de Fréjus, dans un environnement lumineux et vivant où la douceur méditerranéenne se ressent à chaque instant. Ici, le quotid..."
255ILHF5SPBM,2025-11-10T11:29:00Z,Fréjus,,83600,BUY,APARTMENT,309000.0,41.0,2,,"COEUR FRÉJUS se situe à quelques minutes des plages et du cœur historique de Fréjus, dans un environnement lumineux et vivant où la douceur méditerranéenne se ressent à chaque instant. Ici, le quotid..."
25BREHHEPM1G,2025-11-26T13:04:00Z,Saint-Cyr-sur-Mer,Plan de la Mer-Fregate-Rampale-Alon,83270,BUY,APARTMENT,390000.0,62.66,3,2,Appartement T3 Lumineux et Spacieux avec Terrasse - Idéal pour une Vie Confortable Découvrez cet appartement T3 exceptionnel et rare à la vente. Il est situé au deuxième et dernier étage d'un immeubl...
25P7VQAHQUE7,2025-11-07T10:56:00Z,La Londe-les-Maures,Zone Agricole et Boisée,83250,BUY,APARTMENT,275000.0,30.5,2,1,Un château suspendu au bleu de la méditerranée – Une adresse unique sur la Côte d’Azur Le Château Horace Vernet s’apprête à écrire une nouvelle page de son histoire. Niché au cœur de La Londe-les-Mau...
25U65RRVVGTP,2025-11-07T10:56:00Z,La Londe-les-Maures,Zone Agricole et Boisée,83250,BUY,APARTMENT,455000.0,53.76,3,2,Un château suspendu au bleu de la méditerranée – Une adresse unique sur la Côte d’Azur Le Château Horace Vernet s’apprête à écrire une nouvelle page de son histoire. Niché au cœur de La Londe-les-Mau...
253Y4PYGBZ5P,2025-11-07T10:56:00Z,La Londe-les-Maures,Zone Agricole et Boisée,83250,BUY,APARTMENT,220000.0,23.24,1,,Un château suspendu au bleu de la méditerranée – Une adresse unique sur la Côte d’Azur Le Château Horace Vernet s’apprête à écrire une nouvelle page de son histoire. Niché au cœur de La Londe-les-Mau...
25DIVJ58AF1G,2025-11-07T10:56:00Z,La Londe-les-Maures,Zone Agricole et Boisée,83250,BUY,APARTMENT,675000.0,81.3,4,3,Un château suspendu au bleu de la méditerranée – Une adresse unique sur la Côte d’Azur Le Château Horace Vernet s’apprête à écrire une nouvelle page de son histoire. Niché au cœur de La Londe-les-Mau...
25MC1NTARF9T,2025-11-27T19:22:00Z,Le Beausset,Les Freres-Les Cancades-Les Ginestes,83330,BUY,HOUSE,1548000.0,212.0,7,3,"L'Office Immobilier du Beausset vous présente à la vente une villa contemporaine imaginée par l'architecte Jean-Pierre Coscolla, à 9 minutes en voiture du centre-ville du Beausset et 14 min de l'entr..."
241SBSADVR4W,2021-09-21T09:05:00Z,Saint-Maximin-la-Sainte-Baume,Peripherie Centre,83470,BUY,APARTMENT,274515.0,64.39,3,2,OPPORTUNITE : Appartement T3 neuf en duplex suite retour à la vente et disponible immédiatement ! Pas besoin d'attendre de longs mois voir parfois années pour avoir son logement neuf ! Située dans le...
25X6THBME22V,2025-10-25T06:18:00Z,Fréjus,Counillier Valescure,83370,BUY,HOUSE,580000.0,90.0,4,3,"Découvrez cette sélection de maisons neuves contemporaines individuelles avec garage, alliant harmonieusement confort et modernité. Certaines de ces habitations sont accolées mais pas mitoyennes. Ell..."
