id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
251HXM6JTNXF,2025-11-21T15:16:00Z,Vienne,,38200,BUY,APARTMENT,303000,87.0,4,3,"!!! Baisse de prix et frais de notaire offerts !!! À Vienne (38200), L'ANCÉOLE propose un cadre de vie privilégié, où la nature s'invite au cœur d'un environnement urbain recherché. Pensée comme un l..."
25LFT7ESHIZ9,2025-11-21T15:16:00Z,Vienne,,38200,BUY,APARTMENT,242000,74.0,3,2,"!!! Baisse de prix et frais de notaire offerts !!! À Vienne (38200), L'ANCÉOLE propose un cadre de vie privilégié, où la nature s'invite au cœur d'un environnement urbain recherché. Pensée comme un l..."
252EJLXYRM16,2025-11-21T15:16:00Z,Vienne,,38200,BUY,APARTMENT,335000,101.0,5,4,"!!! Baisse de prix et frais de notaire offerts !!! À Vienne (38200), L'ANCÉOLE propose un cadre de vie privilégié, où la nature s'invite au cœur d'un environnement urbain recherché. Pensée comme un l..."
25NQLK7BILQX,2025-06-20T10:28:00Z,Vienne,Estressin,38200,BUY,APARTMENT,183482,45.0,2,,"Situé à l'angle de la rue du Port au Prince et de l'impasse Pégeron, Les Jardins de Vienne redonne souffle et élégance à un quartier en mutation. Son architecture contemporaine, portée par une sélect..."
25ML5X66A6HU,2025-06-20T10:28:00Z,Vienne,Estressin,38200,BUY,APARTMENT,185362,64.0,3,,"Situé à l'angle de la rue du Port au Prince et de l'impasse Pégeron, Les Jardins de Vienne redonne souffle et élégance à un quartier en mutation. Son architecture contemporaine, portée par une sélect..."
25VT7GQGFC1D,2025-06-20T10:28:00Z,Vienne,Estressin,38200,BUY,APARTMENT,224045,68.0,4,,"Situé à l'angle de la rue du Port au Prince et de l'impasse Pégeron, Les Jardins de Vienne redonne souffle et élégance à un quartier en mutation. Son architecture contemporaine, portée par une sélect..."
258JL9BB43NI,2025-06-20T10:28:00Z,Vienne,Estressin,38200,BUY,APARTMENT,375702,123.0,5,,"Situé à l'angle de la rue du Port au Prince et de l'impasse Pégeron, Les Jardins de Vienne redonne souffle et élégance à un quartier en mutation. Son architecture contemporaine, portée par une sélect..."
25IBJU7QVWNQ,2025-10-18T11:34:00Z,Vienne,Les-Collines,38200,BUY,HOUSE,649000,270.0,9,5,"Découvrez votre havre de paix à Vienne : Une maison individuelle de 270 m² Située dans la charmante ville de Vienne au quartier des Tupinieres , cette maison individuelle de 270 m² est une véritable ..."
257GHAQY6QGW,2025-09-23T09:27:00Z,Vienne,Charlemagne,38200,BUY,HOUSE,650000,245.0,7,6,"Située au calme, à seulement 2 kms du centre-ville de Vienne et 2,4 kms de la gare, cette maison de ville atypique offre 245 m² habitables (295 m² au sol) répartis sur 4 niveaux. Elle se distingue pa..."
252DWMNJUL6V,2025-10-09T20:40:00Z,Vienne,,38200,BUY,APARTMENT,200000,83.0,4,2,"Niché sur les hauteurs de Vienne, cet appartement vous séduira par son cadre verdoyant, sa luminosité et ses beaux volumes. Situé au 4 € et dernier étage, avec ascenseur, ce bien offre une dispositio..."
