id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25Z79F1C77C6,2025-11-06T14:47:00Z,Limoges,Cité Universitaire-Albert Thomas,87000,BUY,APARTMENT,151000,108.0,4,3,"Proche de la place des Carmes, au quatrième étage avec ascenseur, type 4 traversant composé d'une entrée, une cuisine indépendante, séjour de 23 m² avec balcon attenant à une chambre de 14 m², deux a..."
25XSUZC91WK3,2025-10-14T10:10:00Z,Verneuil-sur-Vienne,,87430,BUY,PROJECT,161564,,4,2,"VERNEUIL SUR VIENNE ! Devenez propriétaires de votre maison neuve sur un terrain de 720 m². Découvrez cette maison à construire de 75 m², parfaitement pensée pour offrir confort et praticité au quoti..."
258T5NJAUFU7,2025-11-22T07:54:00Z,Aixe sur Vienne,Rive Gauche,87700,BUY,HOUSE,169000,80.0,5,3,"Entre le centre bourg et la zone commerciale, venez découvrir cette maison entièrement rénovée comprenant une entrée, une cuisine ouverte équipée et aménagée, un salon séjour ouvrant sur terrasse, un..."
255LTEV3Z4LB,2025-10-31T18:17:00Z,Limoges,Centre-Hôtel de Ville,87000,BUY,APARTMENT,170000,81.0,4,2,"Limoges - Place de la République, au pied des commerces, venez découvrir cet appartement rénové comprenant: - séjour double - cuisine séparée - 2 chambres - salle d'eau - nombreux placards - Balcon G..."
25SCU1FFP1FS,2025-11-14T17:29:00Z,Aixe sur Vienne,Rive Gauche,87700,BUY,HOUSE,264000,235.0,7,5,"Laissez vous séduire par cette demeure offrant 235m2 habitables au coeur d'Aixe sur Vienne. Parfaite pour une grande famille, vous bénéficierez d' une grande cuisine équipée-aménagée, un vaste salon-..."
25BY5V4L38SZ,2025-10-24T11:10:00Z,Limoges,Émailleurs,87000,BUY,APARTMENT,129000,50.0,2,1,"Dans une résidence prisée et sécurisée de 1998, venez découvrir cet appartement de 50 m2 en très bon état comprenant une entrée, un salon , une cuisine équipée-aménagée, une chambre, un w-c et une sa..."
25W1K9NDCDHN,2025-10-16T14:39:00Z,Feytiat,,87220,BUY,PROJECT,208770,,6,4,"Feytiat ! Devenez propriétaires de votre maison neuve sur un terrain plat loti de 588 m². Découvrez cette maison à construire de 103 m², parfaitement pensée pour offrir confort et praticité au quotid..."
25QU5KQXNUF2,2025-11-20T15:11:00Z,Limoges,Limoges Sud-Portes Férées,87000,BUY,HOUSE,349000,225.0,8,5,"Limoges, proche Centre-ville et dans le quartier, agréable et proche des bords de Vienne, de Saint-Lazare ; demeure de 225 m² habitables. En rez-de-jardin séjour de 72 m², cuisine, 2 chambres, salle ..."
25K8QQIGEZ79,2025-10-09T09:23:00Z,Limoges,Beaune les Mines,87280,BUY,HOUSE,190000,76.0,3,1,"Au calme, sur un magnifique parc de 10010 m², charmante maison de plain pied de trois pièces principales."
25HFHKD8BU6D,2025-10-23T11:08:00Z,Panazol,Le Chalet-La Bausserie,87350,BUY,HOUSE,220000,116.0,6,4,"Exclusivité à Panazol ! à deux pas des écoles, du parc, des commerces et des bus, au calme dans une impasse, venez découvrir ce pavillon comprenant: - Suite parentale avec salle d'Eau - 2 chambres - ..."
25GLRFMKQHAX,2025-10-06T10:30:00Z,Couzeix,Ouest,87270,BUY,APARTMENT,135000,45.49,2,,"A 10min du centre-ville de Limoges au sein d'un quartier résidentiel. Découvrez notre nouvelle réalisation le 153 à Couzeix. A proximité de toutes les commodités, ce projet résidentiel sécurisé aux b..."
25ZQUE5QYHDG,2025-06-18T02:27:00Z,Limoges,,87000,BUY,APARTMENT,100200,18.54,1,,"SPECIAL INVESTISSEURS Découvrez une résidence pour étudiants idéalement située à Limoges (87). Le GROUPE NEXITY, professionnel de l'immobilier résidentiel et de la valorisation d'actifs, propose de d..."
25XSITCSX5CJ,2025-10-06T10:30:00Z,Couzeix,Ouest,87270,BUY,APARTMENT,179000,65.01,3,,"A 10min du centre-ville de Limoges au sein d'un quartier résidentiel. Découvrez notre nouvelle réalisation le 153 à Couzeix. A proximité de toutes les commodités, ce projet résidentiel sécurisé aux b..."
25QP451MFBA2,2025-10-06T10:30:00Z,Couzeix,Ouest,87270,BUY,APARTMENT,225000,80.56,4,,"A 10min du centre-ville de Limoges au sein d'un quartier résidentiel. Découvrez notre nouvelle réalisation le 153 à Couzeix. A proximité de toutes les commodités, ce projet résidentiel sécurisé aux b..."
25ATKKMHNPRB,2025-10-09T09:29:00Z,Saint-Yrieix-la-Perche,Nord,87500,BUY,APARTMENT,250800,161.0,6,4,"Bel appartement en duplex très lumineux, de 161m², avec ascenseur privatif, 4 chambres, salon/sejour de 60m², mezzanine de 25m², terrasse de 38 m², climatisation, garage deux voitures. Bien présenté ..."
256VSDUSC56S,2025-09-26T06:59:00Z,Limoges,Centre-Hôtel de Ville,87000,BUY,APARTMENT,138000,95.0,4,3,"Appartement de 95 m² dans un immeuble ancien au premier étage. L'appartement est traversant, composé de 4 pièces principales, une cuisine séparée ; de nombreuses possibilités pour l'aménager autremen..."
25RU3GZ27QQS,2025-07-16T00:55:00Z,Nexon,,87800,BUY,HOUSE,239925,104.0,5,3,"Située en plein centre de Nexon, à proximité immédiate du collège (à pied), des commerces et services, cette maison a été entièrement rénovée avec soin. Elle repose sur un terrain clos de 723 m², idé..."
258GNPH3HUB4,2025-11-26T09:11:00Z,Limoges,Centre-Hôtel de Ville,87000,BUY,APARTMENT,139500,91.0,3,2,"BO-MON Immobilier vous invite à découvrir ce bel appartement de 91 m², idéalement placé rue Jean Jaures dans un immeuble de caractère style art déco. Occupant l'integralité du 1er étage, vous appréci..."
25L7E17WYZFE,2025-09-17T23:08:00Z,Limoges,,87100,BUY,HOUSE,259900,110.0,5,3,"À seulement 5 minutes du centre-ville, cette maison rénovée avec soin, construite en 1981, se situe dans un quartier résidentiel calme et recherché, proche de toutes les commodités : écoles, commerce..."
25I4FJ355XFS,2025-11-15T01:21:00Z,Aixe-sur-Vienne,Rive Gauche,87700,BUY,HOUSE,350000,344.0,12,5,"Élégante villa de 1930, située dans l'hypercentre d'Aixe-sur-Vienne. Cette propriété d'environ 344 m² habitable offre de magnifiques volumes ! Au rez-de-chaussée, vous trouverez une vaste entrée dess..."
25N1ACUB3IAA,2025-11-20T07:34:00Z,Limoges,Centre-Hôtel de Ville,87000,BUY,APARTMENT,254400,155.0,4,3,"Nouveauté Bo-Mon immobilier!! Situé au premier étage d'un bel immeuble ancien, rue Adrien Dubouché, cet élégant appartement de 155 m² allie cachet et confort au coeur d'un quartier très recherché, an..."
25U4QXG21KEW,2025-11-19T10:24:00Z,Limoges,Cité Universitaire-Albert Thomas,87000,BUY,HOUSE,189900,125.0,5,3,"Nouveauté Bo-Mon Immobilier!! Nous vous proposons à la vente cette maison située en centre ville de Limoges, à proximité immédiate de la Place des Carmes. Construite dans les années 20, cette maison ..."
2541U3JZA22E,2025-11-26T13:07:00Z,La Meyze,,87800,BUY,HOUSE,169900,124.0,7,4,"HM IMMO Lola HANAS vous propose : À 10 km de SAINT-YRIEIX-LA-PERCHE Grande maison avec 4 belles chambres et jardin arboré et clos, située dans un hameau. D'environ 124 m² habitables, cette maison off..."
24TFM2Z5G58N,2024-10-14T23:56:00Z,Saint Laurent sur Gorre,,87310,BUY,HOUSE,575000,225.0,11,5,"Idéal regroupement familial ou projet professionnel : Découvrez à Saint-Laurent-Sur-Gorre, en France, ce bel ensemble immobilier assez rare. C'est une opportunité unique à ne pas manquer ! Avec une s..."
25XQ9R5ND8SG,2025-10-23T20:38:00Z,Limoges,,87000,BUY,APARTMENT,249000,103.0,5,3,"EXCLUSIVITÉ - Quartier Carmes - Situé dans un secteur calme à proximité immédiate du centre-ville, venez découvrir ce bien rare à la vente situé au troisième et dernier étage avec ascenseur d'une rés..."
25RDN5T9THAQ,2025-09-10T23:59:00Z,Limoges,Beaublanc,87000,BUY,HOUSE,525000,210.0,8,5,"Maison bourgeoise lumineuse avec magnifique jardin paysager – Quartier Ouest Située quartier Ouest, cette élégante maison bourgeoise conjugue le charme de l'ancien et le confort moderne avec un rare ..."
24XNQU7FN8VQ,2024-10-14T23:56:00Z,Saint-Laurent-sur-Gorre,,87310,BUY,HOUSE,333000,154.0,6,3,"À vendre à Saint-Laurent-Sur-Gorre, en France, cette magnifique maison de 154 m² prête à vivre, sur un vaste terrain de 100000 m². Avec un prix de vente attractif de 333000 euros, cette propriété off..."
25Y9H6K3R2QU,2025-11-15T07:01:00Z,Limoges,Beaune les Mines,87280,BUY,HOUSE,233000,125.0,4,4,"Sylvia Coralli vous propose : Limoges - Beaune les Mines Maison de plain- pied sur sous-sol complet. Laissez-vous séduire par cette maison lumineuse et parfaitement entretenue, située dans un secteur..."
25ZDBJWK3YGQ,2025-11-03T09:51:00Z,La Geneytouse,,87400,BUY,HOUSE,160500,95.0,5,3,"Située dans un environnement calme et apaisant, cette maison en pierre de 95 m² hab. offre un cadre de vie idéal pour les amoureux de la nature. Elle se compose de 3 chambres, d'une salle d'eau avec ..."
25MMXHBGFLVL,2025-10-02T08:50:00Z,Solignac,,87110,BUY,HOUSE,249100,118.0,6,4,"À seulement quelques kilomètres de Limoges, située en plein coeur du centre-bourg de Solignac, cette agréable maison de 118 m² habitables offre un cadre de vie paisible et pratique, à proximité imméd..."
257RJM8TLIFL,2025-11-13T16:18:00Z,Feytiat,,87220,BUY,HOUSE,355000,131.0,4,3,"Cause mutation non prévue, à saisir à 6 km EST de Feytiat commune d'Aureil. Maison neuve de 2025 plain pied de 131 M² dans uns une secteur calme en impasse. Composée d'un salon séjour ouvert sur cuis..."
25PXNF7CG9RL,2025-09-15T23:41:00Z,Limoges,,87000,BUY,APARTMENT,69300,58.0,3,2,"Au 3 eme et dernier étage sans ascenseur, appartement traversant de 59 m² environ comprenant : une entrée avec placards, un séjour de 16,43 m², deux chambres (dont une utilisée en salon), une cuisine..."
25CZKHKPE4R5,2025-09-18T21:28:00Z,Gajoubert,,87330,BUY,HOUSE,129600,135.0,8,6,"REF. 34882 : 129 600 euros HAI, Gajoubert (87), EXCLUSIVITÉ ! dans un hameau, avec beau potentiel, maison campagne en pierre, indépendante, à usage d'habitation, 135 m2 env. utilisables composée au r..."
25CBXDRB2CJ9,2025-07-19T07:04:00Z,Feytiat,Le Reste de Feytiat,87220,BUY,HOUSE,290000,140.0,7,5,"Superbe maison T7 de plain-pied de 2006 avec sous-sol complet, située dans un cadre paisible,, elle offre de beaux volumes et des prestations de qualité. Elle se compose d'une entrée accueillante, d'..."
25FGG8S7YPAH,2025-08-28T19:58:00Z,La Meyze,,87800,BUY,HOUSE,298200,233.0,5,3,"Ludovic LACORRE NEXIMMO vous propose de découvrir cette ancienne usine rénovée en loft de 250 m², paisible et pleine de charme, située dans un environnement calme et harmonieux. 10 minutes de Saint-Y..."
25Q5ZG88AUZ7,2025-03-03T00:57:00Z,Meuzac,,87380,BUY,HOUSE,469000,134.0,8,3,"À vendre : Agréable ferme de 52 hectares avec maison, granges en pierres et bâtiments d'exploitation. Située sur la commune de Meuzac, Proche de Magnac-Bourg, (10 min) et 42 km (35 min par l'A20) au ..."
252S2B61XGSX,2025-11-25T18:10:00Z,Limoges,Vanteaux-Puy Las Rodas,87000,BUY,APARTMENT,87200,61.0,3,2,"Idéalement placé ! Appartement de type 3 de 61m² proche Hotel de ville, à deux pas de l'hypercentre, secteur Ferdinand Buisson au 1er étage d'une petite copropriété bien entretenue. Composé d'une piè..."
2557H51DI15A,2025-08-01T22:12:00Z,Limoges,,87000,BUY,HOUSE,238500,190.0,8,6,"EXCLUSIVITÉ - LIMOGES quartier Ouest - Nous vous proposons de venir découvrir cette belle maison non mitoyenne de 190m² située à proximité de toutes commodités (bus, écoles et commerces). Elle se com..."
253KNIHHLGN3,2025-11-28T11:33:00Z,Saint Leger la Montagne,,87340,BUY,HOUSE,55000,,5,3,"Yves Bonnet vous propose Maison de 1900 en pierres a rénover. Rez de chaussée 2 pièces, salle d'eau WC, cave. Etage 3 chambres. GARAGE, ABRIS BOIS, REMISE. Secteur calme. IDEAL pour amoureux de la ca..."
25SXGPFGTAF4,2025-08-18T09:34:00Z,Champsac,,87230,BUY,HOUSE,130000,100.0,5,3,"Sylvie Leyssenne NEXIMMO vous propose cette ravissante maison alliant charme et modernité, à 10 minutes de Chalûs (ses commerces, écoles, son collège, ses infrastructures sportives et services admini..."
254895HNGVUV,2025-10-23T20:38:00Z,Panazol,,87350,BUY,HOUSE,229000,90.0,4,3,MAISON DE PLAIN PIED PANAZOL: L'Agence vous invite à venir découvrir sa dernière nouveauté sur la commune prisée de Panazol: une charmante maison de plain pied de 90m². Dans un cadre de vie calme et ...
25WRCST2D3ZV,2025-10-22T10:23:00Z,Nexon,,87800,BUY,HOUSE,248500,136.0,4,3,"À vendre Maison rénovée avec dépendances Ouvert à l'inter agence Idéalement située entre Limoges et Saint-Yrieix-la-Perche, cette belle propriété offre un cadre de vie paisible au cœur de la campagne..."
25RY4NFGYNFJ,2025-09-15T14:53:00Z,Panazol,,87350,BUY,HOUSE,271000,91.0,4,3,EXCLUSIVITÉ ! PANAZOL Sylvia Coralli vous propose : Maison neuve T4 plain-pied dans secteur très calme et paisible dans impasse. Venez poser vos valises dans cette magnifique maison neuve de plain-pi...
