id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
251RXGU3VR1A,2025-11-23T17:49:00Z,Gérardmer,Ecarts et Coteaux,88400,BUY,APARTMENT,137000,41.39,3,2,"Liberkeys vous propose, en exclusivité à Gérardmer, cet appartement lumineux de 42 m² Carrez, idéalement conçu pour un couple, une petite famille ou un investissement locatif saisonnier au cœur des V..."
255X5YEVBDAK,2025-11-18T15:37:00Z,Gérardmer,Ecarts et Coteaux,88400,BUY,HOUSE,450000,165.0,7,3,88400 - GÉRARDMER - MAISON FAMILIALE À RENOVER - 3 CHAMBRES - ESPACE SPA - GRANDE VÉRANDA - PISCINE + POOL-HOUSE - EXPOSITION SUD + DÉPENDANCE Optimhome vous présente en exclusivité cette maison fami...
25MEB4H9GRE8,2025-11-29T01:33:00Z,Villoncourt,,88150,BUY,PROJECT,217000,,5,3,"MAISON NEUVE À CONSTRUIRE Construisez votre demeure sur mesure avec Maisons Alsebat. Que votre projet de vie soit traditionnel, contemporain ou créatif, votre constructeur de maisons individuelles vo..."
254A8JJZR1PN,2025-11-29T01:33:00Z,Charmes,,88130,BUY,PROJECT,261000,,5,3,"MAISON NEUVE À CONSTRUIRE Construisez votre maison sur mesure avec Maisons Alsebat. Qu'il s'agisse d'un projet traditionnel, contemporain ou créatif, votre constructeur de maisons individuelles vous ..."
25AZ2NFUGPXU,2025-11-29T01:33:00Z,Mazirot,,88500,BUY,PROJECT,198500,,5,3,"MAISON NEUVE À CONSTRUIRE Construisez votre maison sur mesure avec Maisons Alsebat. Qu'il s'agisse d'un projet traditionnel, contemporain ou créatif, votre constructeur de maisons individuelles vous ..."
25S9Q2Q77E1B,2025-11-12T13:51:00Z,Gérardmer,,88400,BUY,HOUSE,650000,175.0,7,4,88400 - GÉRARDMER - MAISON FAMILIALE - 4 CHAMBRES + STUDIO - GRAND SOUS-SOL - VUE DÉGAGÉE - EXPOSITION SUD-OUEST - VUE LAC DEPUIS LES CHAMBRES Optimhome vous présente en exclusivité cette superbe mai...
25VY5YGW6L3E,2025-10-06T10:53:00Z,Gérardmer,Ecarts et Coteaux,88400,BUY,APARTMENT,147000,58.0,3,2,"Liberkeys vous propose à Gérardmer, cet appartement de 58 m² Carrez, idéalement agencé pour répondre aux besoins d'un couple ou d'une petite famille souhaitant s'installer dans un environnement calme..."
25WL73GJ94PA,2025-11-29T01:33:00Z,Uxegney,,88390,BUY,PROJECT,316000,,5,3,"MAISON NEUVE À CONSTRUIRE Construisez votre maison sur mesure avec Maisons Alsebat. Qu'il s'agisse d'un projet traditionnel, contemporain ou créatif, nous vous proposons une large gamme de modèles de..."
25W96847393U,2025-11-03T19:23:00Z,Gérardmer,Ecarts et Coteaux,88400,BUY,HOUSE,300000,55.0,3,2,"GÉRARDMER (88400) – CHALET EN BOIS – 2 CHAMBRES – EXPOSITION SUD/OUEST – GRAND TERRAIN – CADRE VERDOYANT AVEC RUISSEAU Optimhome vous présente ce charmant chalet en bois d'environ 55 m², idéalement s..."
25AQHLDXMID7,2025-11-29T01:33:00Z,Vittel,,88800,BUY,PROJECT,264000,,5,3,"MAISON NEUVE À CONSTRUIRE Construisez votre maison sur mesure avec Maisons Alsebat. Que votre projet soit traditionnel, contemporain ou créatif, notre entreprise de construction de maisons individuel..."
25LHMEE58QXD,2025-11-29T01:33:00Z,Girancourt,,88390,BUY,PROJECT,249000,,6,4,"MAISON NEUVE À CONSTRUIRE Construisez votre maison sur mesure avec Maisons Alsebat. Qu'il s'agisse d'un projet traditionnel, contemporain ou créatif, nous vous proposons une large gamme de modèles de..."
25GWW5FEQ6ZW,2025-10-24T20:44:00Z,Gérardmer,Ecarts et Coteaux,88400,BUY,HOUSE,490000,140.0,7,5,"88400 - GÉRARDMER - MAISON FAMILIALE - 5 CHAMBRES - BEAU TERRAIN - EXPOSITION SUD - VUE LAC PRÉSERVÉE Optimhome vous présente cette charmante maison familiale d'environ 140 m², idéalement située sur ..."
257S96NM4LPV,2025-11-29T01:33:00Z,Mazirot,,88500,BUY,PROJECT,233000,,6,4,"MAISON NEUVE À CONSTRUIRE Construisez votre maison sur mesure avec Maisons Alsebat. Que votre projet de vie soit traditionnel, contemporain ou créatif, votre constructeur de maisons individuelles pro..."
258B5SI92L5Z,2025-10-24T20:44:00Z,Gérardmer,Ecarts et Coteaux,88400,BUY,HOUSE,650000,400.0,12,5,FERME VOSGIENNE - ENTIEREMENT RÉNOVÉE - 2 LOGEMENTS - PIERRES APPARENTES - GRANDS VOLUMES - GARAGE - GRAND TERRAIN. Optimhome vous présente authentique ferme vosgienne de 1850 entièrement rénovée en ...
25WGT6X71I1C,2025-10-24T20:44:00Z,Gérardmer,Ecarts et Coteaux,88400,BUY,HOUSE,1130000,220.0,8,1,88400 - GÉRARDMER - CHALET - 8 COUCHAGES - MEUBLÉ - CADRE NATUREL - CALME - VIEUX BOIS - SAUNA - JACUZZI - SALLE DE JEUX - SALLE DE CINÉMA - VUE LAC. Optimhome vous présente ce chalet de 220m² fraîch...
256HYLDQNS3K,2025-10-24T20:44:00Z,Gérardmer,,88400,BUY,HOUSE,700000,400.0,15,6,88400 - PROCHE GÉRARDMER - FERME VOSGIENNE - RÉSIDENCE SECONDAIRE - INVESTISSEMENT LOCATIF – ENVIRONNEMENT CALME – PROCHE COMMODITÉS & LAC Optimhome vous présente en exclusivité cette propriété de ca...
25699QM1I2EG,2025-10-24T20:44:00Z,Le Tholy,,88530,BUY,HOUSE,195000,300.0,5,1,LE THOLY - 88530 - MAISON DE CHARME - APPARTEMENT T2 + TRES GRAND ATELIER (LOCAL PROFESSIONNEL OU LOFT) - GARAGE ANNEXE - GRAND PARKING - JARDIN - SUD Optimhome vous présente cette bâtisse pleine de ...
25UW2UZYB1DE,2025-10-24T20:44:00Z,Gérardmer,Centre Ville,88400,BUY,HOUSE,599000,155.0,8,2,88400 - GÉRARDMER - INVESTISSEMENT LOCATIF - 7% DE RENTABILIÉ - 4 APPARTEMENTS + DEPENDANCE - VUE LAC - PROCHE CENTRE ET PISTES DE SKI Optimhome vous présente cet ensemble immobilier exploité en loca...
