id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25R75SJUW5LK,2025-11-14T15:47:00Z,Quenne,,89290,BUY,HOUSE,238000,83.0,5,3,Découvrez ce havre de paix situé à 7km d'Auxerre dans un village calme & résidentiel entouré de vigne. Retrouvez cette sublime maison d'architecte construite sur un terrain de 2163m². Par le portail ...
2541WSG932XV,2025-11-18T21:16:00Z,Moulins-sur-Ouanne,,89130,BUY,HOUSE,439000,240.0,8,4,"A 1h45 de PARIS A6, 9 mn de TOUCY, située dans un cadre calme et verdoyant, cette maison de 240 m2 est lumineuse, facile à vivre et offre un grand espace de vie, idéale pour un couple, une famille ma..."
25YNVMZJXKQE,2025-09-10T15:02:00Z,Noyers,,89310,BUY,HOUSE,680000,311.0,9,5,"En exclusivité dans 'Noyers-sur Serein', voici l'une des rares grandes demeures de notable du '18ième' dans l'un des plus beaux village de France. En plein coeur historique de la cité, cette grande m..."
25QW7HSZFJH1,2025-09-10T15:02:00Z,Chablis,,89800,BUY,HOUSE,569000,267.0,12,5,"Joli ensemble immobilier rénové en 2007 de 267m2 hab et ses dépendances, offrant un très grand confort alliant moderne et ancien, certifié d'un DPE optimum, tous réseaux aux normes. Offre de jolis vo..."
25SLS33KKWWS,2025-10-31T13:34:00Z,Taingy,,89560,BUY,HOUSE,139000,135.0,5,2,"Située sur les hauteurs de Taingy, au cœur du pays de Forterre, cette superbe maison de caractère séduit par son authenticité préservée et son confort moderne. À seulement 10 minutes de Courson-les-C..."
25W3NGRZIHBG,2025-10-20T13:16:00Z,Chemilly-sur-Yonne,,89250,BUY,PROJECT,162971,,3,2,"Situé dans la commune de Chemilly-sur-Yonne (89250) à 5 min d'Appoigny et Seignelay. Ce terrain à bâtir de 1193m2, non viabilisé ,offre une opportunité rare d'investissement. Niché dans un environnem..."
254474MPT2ZY,2025-05-21T20:35:00Z,Saint-Maurice-le-Vieil,,89110,BUY,HOUSE,392000,250.0,9,5,"A 1H 30 de PARIS, 13 mn de TOUCY, vous serez séduit par cette belle longère de 181 m2 et de la maison d'amis de 65 m2. Élégante maison de village du 18e siècle permetant un plain-pied grâce : - Au Re..."
25B67NFMK5US,2025-09-10T15:02:00Z,Voutenay-sur-Cure,,89270,BUY,HOUSE,395000,288.0,9,6,"Grande maison bourgeoise de fin 1880 située aux portes du parc régionnal du Morvan à seulement 2h de Paris, ces 270m2 et son terrain clos 6445 m2, offrent un cadre de caampagne exceptionnel dans la t..."
247SEW6IQ591,2024-11-02T22:05:00Z,Saint-Aubin-Château-Neuf,,89110,BUY,HOUSE,449000,373.9,9,6,"A 7 minutes du Golf de RONCEMAY, A SAINT AUBIN CHATEAUNEUF, vous serez séduit par cette très belle Maison d'Architecte très agréable à vivre par sa distribution de l'espace, lumineuse avec de nombreu..."
2584FFRTJUPJ,2025-10-20T13:16:00Z,Chemilly-sur-Yonne,,89250,BUY,PROJECT,117745,,3,2,"Situé dans la commune de Chemilly-sur-Yonne (89250) à 5 min d'Appoigny et Seignelay. Ce terrain à bâtir de 1193m2, non viabilisé ,offre une opportunité rare d'investissement. Niché dans un environnem..."
254RT73RIPAA,2025-10-20T13:16:00Z,Chemilly-sur-Yonne,,89250,BUY,PROJECT,179961,,4,3,"Situé dans la commune de Chemilly-sur-Yonne (89250) à 5 min d'Appoigny et Seignelay. Ce terrain à bâtir de 1193m2, non viabilisé ,offre une opportunité rare d'investissement. Niché dans un environnem..."
25FQBQYZ77EQ,2025-10-20T13:16:00Z,Chemilly-sur-Yonne,,89250,BUY,PROJECT,141545,,3,2,"Situé dans la commune de Chemilly-sur-Yonne (89250) à 5 min d'Appoigny et Seignelay. Ce terrain à bâtir de 1193m2, non viabilisé ,offre une opportunité rare d'investissement. Niché dans un environnem..."
25FKQLDRF281,2025-10-20T13:16:00Z,Chemilly-sur-Yonne,,89250,BUY,PROJECT,197588,,5,4,"Situé dans la commune de Chemilly-sur-Yonne (89250) à 5 min d'Appoigny et Seignelay. Ce terrain à bâtir de 1193m2, non viabilisé ,offre une opportunité rare d'investissement. Niché dans un environnem..."
2525MCXZ48VG,2025-10-20T13:16:00Z,Chemilly-sur-Yonne,,89250,BUY,PROJECT,209408,,5,4,"Situé dans la commune de Chemilly-sur-Yonne (89250) à 5 min d'Appoigny et Seignelay. Ce terrain à bâtir de 1193m2, non viabilisé ,offre une opportunité rare d'investissement. Niché dans un environnem..."
