id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
258ANUCMWFRY,2025-11-21T13:40:00Z,Fumay,,08170,BUY,HOUSE,85000,160.0,8,5,"Située au cœur de Fumay, à deux pas des commodités essentielles telles que les écoles, les commerces, la pharmacie ou encore la gare, cette maison de village offre une belle surface habitable de 160 ..."
25EUQBQ3DX4A,2025-11-17T11:21:00Z,Revin,,08500,BUY,HOUSE,116000,133.0,6,4,"REVIN 08. Située à 50 m de la Meuse, le bien comprend : Caractéristiques du bien : Rez-de-chaussée : Cuisine équipée fonctionnelle. Salle à manger conviviale avec poêle à pellets Arrière-cuisine Sall..."
25A1YGXQ1TYK,2025-11-04T01:08:00Z,Boult-Aux-Bois,,08240,BUY,HOUSE,171500,220.0,6,3,"Exclusivité Vision Immobilier - Maison familiale de 220 m2 avec jardin À proximité immédiate de la mairie, découvrez cette magnifique maison mitoyenne d'un côté, développant 220 m2 habitables sur une..."
25EP9A1H87CZ,2025-10-29T01:09:00Z,Wasigny,,08270,BUY,HOUSE,152500,98.0,5,3,"Exclusivité Vision Immobilier - Découvrez cette maison de 98m2 sur parcelle de 1500m2, Située dans un environnement paisible et verdoyant, cette charmante maison entièrement rénovée (factures à l'app..."
25ES6FZLFJR6,2025-08-22T14:33:00Z,Revin,,08500,BUY,HOUSE,153000,140.0,5,3,"Idéalement située au cœur de Revin, à seulement 30 minutes de Charleville-Mézières, cette belle maison surplombant les rives de la Meuse n'attend que vous. Ses espaces lumineux et son cadre enchanteu..."
25LCLH71IQ8W,2025-08-27T07:35:00Z,Flize,,08160,BUY,HOUSE,205000,100.0,5,2,"Maison individuelle de caractère située dans la commune d'Elan (08160), offrant un cadre calme et verdoyant idéal pour les amoureux de la nature. Ce bien se compose, au rez-de-chaussée, d'une belle c..."
259EQDWDJKHC,2025-11-14T11:28:00Z,Rancennes,,08600,BUY,HOUSE,195000,108.0,5,4,"Située dans une commune proche de Givet, découvrez cette maison familiale avec vue sur le Fort de Charlemont. Au rez-de-chaussée, on trouve un hall d'entrée avec placard, une chambre, et une double c..."
257HEULKAMUA,2025-11-12T13:44:00Z,Rancennes,,08600,BUY,HOUSE,157000,128.0,5,4,"Située dans une commune proche de Givet, découvrez cette maison familiale avec vue sur le Fort de Charlemont. Au rez-de-chaussée, on trouve un hall d'entrée avec placard, une chambre, et une double c..."
25QFANTIQNNS,2025-08-27T07:36:00Z,Givet,,08600,BUY,APARTMENT,60000,76.0,4,3,"Sur la commune de GIVET, proche de la frontière belge, découvrez cet appartement situé au 1er niveau d'une résidence fermée Il comprend un hall d'entrée, un séjour, une cuisine semi-équipée, une sall..."
25K8XS1FD73B,2025-08-22T14:34:00Z,Vireux Molhain,,08320,BUY,HOUSE,160000,138.0,8,6,"ARDENNES 08, secteur Vireux Molhain proche la Belgique. Maison de138m². Le bien ce compose : hall d'entrée, vestiaire, buanderie, garage double. Premier niveau : cuisine, séjour, wc. 2ème niveau : tr..."
252S42TAPPRZ,2025-09-03T10:38:00Z,Hargnies,,08170,BUY,HOUSE,57000,90.0,3,1,"L'ensemble immobilier situé dans les Ardennes, à Hargnies (08), offre un potentiel pour un projet de gîte. Le gîte de 30m² est déjà aménagé avec une entrée, un séjour et une kitchenette au rez-de-cha..."
258JL3X9WJS8,2025-10-07T00:42:00Z,Chatel-Chéhéry,,08250,BUY,HOUSE,36500,180.0,8,6,"Exclusivité Vision Immobilier - Située dans le calme village de Chatel-Chéhéry, cette grande maison de 180 m² habitables sur une parcelle constructible de 2 500 m², avec une partie garage/grange offr..."
257TVVZQNK42,2025-10-09T18:40:00Z,Charleville-Mézières,Gare Nord et Ouest,08000,BUY,HOUSE,629000,418.0,15,5,"À seulement dix minutes de Charleville-Mézières, découvrez cette propriété unique entièrement rénovée avec goût et rafinnement, nichée dans un magnifique parc clos et arboré de plus de 5 000 m2. Alli..."
25SW1KA15K38,2025-12-01T10:14:00Z,Saint-Loup-en-Champagne,,08300,BUY,HOUSE,233000,120.0,5,4,"À 30 minutes de Reims et 20 minutes de Rethel, au cœur d'un village paisible, découvrez cette belle maison construite en 2017 de 120 m², sur une belle parcelle de 1 000 m². Une fois passé la porte, u..."
257BPKE9GR2U,2025-11-19T15:24:00Z,Machault,,08310,BUY,HOUSE,150000,194.0,7,5,"Proche de Machault dans les Ardennes, découvrez cette vaste maison du XIX? siècle d'environ 200 m², en pierre et craie de pays, offrant tout le charme de l'ancien avec de beaux volumes et des murs ép..."
25KJB6X5D6BR,2025-12-01T10:09:00Z,Saint-Loup-en-Champagne,,08300,BUY,HOUSE,233000,120.0,5,4,"À 30 minutes de Reims et 20 minutes de Rethel, au cœur d'un village paisible, découvrez cette belle maison construite en 2017 de 120 m², sur une belle parcelle de 1 000 m². Une fois passé la porte, u..."
25KF8GFRSRDX,2025-09-20T06:59:00Z,Rethel,Sud,08300,BUY,PROJECT,188282,,4,3,"Maisons Pierre vous propose sur un terrain de 392m² à RETHEL, un projet de construction d'une maison de 76,33m² proposant 3 chambres. Rethel est une ville dynamique d'environ 6 000 habitants offrant ..."
25SSTXUWV1SX,2025-09-20T06:59:00Z,Rethel,Sud,08300,BUY,PROJECT,187282,,5,4,"Sur un terrain de 392m² à RETHEL, découvrez notre projet de construction d'une maison de 90,28m² proposant 4 chambres. Rethel est une ville dynamique d'environ 6 000 habitants offrant un cadre de vie..."
