id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25YGZ9EM6ZCV,2025-04-11T01:07:00Z,Vescemont,,90200,BUY,PROJECT,242900,,5,3,"Plongez dans le confort et l'élégance avec cette maison, conçue selon les dernières normes RE2020 pour une performance énergétique optimale.A VESCEMONT sur un terrain de 700 m², MAISONS STÉPHANE BERG..."
25LYWEJ9CDIY,2025-11-13T03:52:00Z,Lachapelle-sous-Rougemont,,90360,BUY,PROJECT,315500,,5,3,"A LACHAPELLE-SOUS-ROUGEMONT sur un terrain de 840 m², MAISONS STÉPHANE BERGER vous propose de réaliser cette maison neuve d'une surface de 106 m² habitables avec 3 chambres.Vivez dans un lieu baigné ..."
25AEQU3DGLU9,2025-06-18T03:52:00Z,Bavilliers,,90800,BUY,PROJECT,306945,,5,3,"Votre future maison vous attend à BavilliersDécouvrez un projet de construction moderne et personnalisable de 110 m², conçu pour allier confort, élégance et praticité, sur un terrain spacieux de 579 ..."
25HU1TE1SRGX,2025-04-11T01:07:00Z,Vescemont,,90200,BUY,PROJECT,318520,,6,4,"A VESCEMONT sur un terrain de 700 m², MAISONS STÉPHANE BERGER vous propose de réaliser cette maison neuve d'une surface de 139 m² habitables avec 4 chambres.Vivez dans un lieu baigné de lumière, où l..."
257MVLNQ294K,2025-07-31T02:57:00Z,Evette-Salbert,,90350,BUY,PROJECT,267500,,5,3,"Votre future maison vous attend à Evette Salbert.Découvrez un projet de construction moderne et personnalisable de 91 m², conçu pour allier confort, élégance et praticité, sur un terrain de 700 m².Ca..."
254JA1G733E2,2025-07-31T02:57:00Z,Evette-Salbert,,90350,BUY,PROJECT,483232,,6,4,"Projet de construction d'une maison 118 m² - 5 pièces avec terrain de 6847 m² à Evette SalbertMaisons Stéphane Berger concepteur-bâtisseur éco-responsable, de maison individuelle depuis plus 25 ans, ..."
25X3UCX2L5BU,2025-11-11T03:53:00Z,Bethonvilliers,,90150,BUY,PROJECT,344088,,6,3,"A BETHONVILLIERS sur un terrain de 800 m², MAISONS STÉPHANE BERGER vous propose de réaliser cette maison neuve de 102 m² habitables avec 3 chambres. Vivez dans un lieu lumineux avec pièce de vie tour..."
25VWKR56HCUD,2025-04-11T01:07:00Z,Saint-Dizier-l'Eveque,,90100,BUY,PROJECT,393800,,6,4,"A SAINT-DIZIER-L'EVEQUE sur un terrain de 2872 m², MAISONS STÉPHANE BERGER vous propose de réaliser cette maison neuve d'une surface de 106 m² habitables avec 4 chambres.Vivez dans un lieu baigné de ..."
25XJMQ3Z2RZ9,2025-07-31T02:57:00Z,Chaux,,90330,BUY,PROJECT,301044,,6,4,"A CHAUX sur un terrain de 438 m², MAISONS STÉPHANE BERGER vous propose de réaliser cette maison neuve d'une surface de 106 m² habitables avec 4 chambres.Vivez dans un lieu baigné de lumière, où les o..."
257ZKLRX7QGQ,2025-08-21T02:57:00Z,Angeot,,90150,BUY,PROJECT,357685,,6,4,"A ANGEOT sur un terrain de 1008 m², MAISONS STÉPHANE BERGER vous propose de réaliser cette maison neuve de 105 m² habitables avec 4 chambres. Vivez dans un lieu lumineux avec pièce de vie tournée ver..."
