id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
258E4DMBR2RZ,2025-11-14T15:16:00Z,Rueil-Malmaison,,92500,BUY,APARTMENT,885000.0,108.0,5,4,"Située à proximité du cœur de Rueil-Malmaison et entourée d'un environnement préservé composé de parcs, d'espaces arborés et d'un patrimoine riche, Rueil en Scène offre un cadre de vie recherché. La ..."
256IVBTZMPZA,2025-11-14T15:16:00Z,Rueil-Malmaison,,92500,BUY,APARTMENT,679000.0,81.0,4,3,"Située à proximité du cœur de Rueil-Malmaison et entourée d'un environnement préservé composé de parcs, d'espaces arborés et d'un patrimoine riche, Rueil en Scène offre un cadre de vie recherché. La ..."
25T4PZDWR61M,2025-11-14T11:21:00Z,Rueil-Malmaison,,92500,BUY,APARTMENT,230000.0,26.0,1,,"Située à proximité du cœur de Rueil-Malmaison et entourée d'un environnement préservé composé de parcs, d'espaces arborés et d'un patrimoine riche, Rueil en Scène offre un cadre de vie recherché. La ..."
25Y4S4FIF28D,2025-11-14T11:21:00Z,Rueil-Malmaison,,92500,BUY,APARTMENT,328000.0,42.0,2,1,"Située à proximité du cœur de Rueil-Malmaison et entourée d'un environnement préservé composé de parcs, d'espaces arborés et d'un patrimoine riche, Rueil en Scène offre un cadre de vie recherché. La ..."
25DZ75YTHHZF,2025-11-30T05:09:00Z,Sèvres,Monesse-Croix Bosset,92310,BUY,APARTMENT,243000.0,42.0,1,,"SEVRES (92) - QUARTIER CROIX BOSSET - STUDIO - 42 m² - BELLE VUE DEGAGEE - CALME - LUMINEUX - ENVIRONNEMENT BOISE - Efficity et Adeline BERTHOLON ont le plaisir de vous présenter ce grand studio, sit..."
25FGC8FB1YFY,2025-11-30T05:09:00Z,Sèvres,Monesse-Croix Bosset,92370,BUY,APARTMENT,350000.0,67.0,3,2,SEVRES (92) - QUARTIER MONESSE CROIX BOSSET - APPARTEMENT de 67 m² - 3 PIECES - 2 CHAMBRES - BEAUX VOLUMES - CALME - TRAVERSANT - JOLIE VUE SUR VERDURE - Efficity et Adeline Bertholon ont le plaisir ...
25EMCKA8EGXQ,2025-11-30T03:36:00Z,Sèvres,Monesse-Croix Bosset,92310,BUY,APARTMENT,450000.0,77.0,3,2,SEVRES (92) - QUARTIER CROIX BOSSET - APPARTEMENT 3 PIECES - 77 m² - 2 CHAMBRES - BALCON - VUE SUPERBE - GRAND PARC ARBORE - CALME - LUMINEUX - ENVIRONNEMENT PRIVILEGIE - Efficity et Adeline BERTHOLO...
254NCL3JAPQ6,2025-11-30T00:59:00Z,La Garenne-Colombes,ZAC de Charlebourg,92250,BUY,APARTMENT,965000.0,107.0,4,3,"Au cœur du quartier Champs-Philippe, cet appartement traversant de 107 m², situé au 2 € étage d'une résidence de 2003, a été entièrement rénové fin 2020. Son exposition sud-ouest et sa terrasse de 7 ..."
25WX1UTEH3Y7,2025-11-29T21:34:00Z,Sèvres,Monesse-Croix Bosset,92310,BUY,APARTMENT,440000.0,77.0,3,2,SEVRES (92) - QUARTIER CROIX BOSSET - 3 PIECES - 77 m² - 2 CHAMBRES - BALCON - TRES BELLES VUES - CALME - LUMINEUX - TRAVERSANT - ENVIRONNEMENT VERDOYANT - Efficity et Adeline BERTHOLON ont le plaisi...
255AC4PNDFD3,2025-11-28T13:31:00Z,Colombes,Plateau-Grèves-Europe-Gare du Stade-Fossés Jean,92700,BUY,APARTMENT,248000.0,45.89,2,1,"Découvrez ce magnifique appartement de 45,89 m², situé au 6ème et dernier étage d'un immeuble construit en 1930. Ce bijou architectural, allie charme d'antan et modernité, offrant un cadre de vie idé..."
255GX74GPNCA,2025-11-27T20:03:00Z,Chaville,Mare Adam,92370,BUY,APARTMENT,508000.0,77.0,3,2,** NOUVEAUTE ** EN EXCLUSIVITE ** RARE au CENTRE VILLE de CHAVILLE - ÉTAT IMPECCABLE - 3 PIÈCES dans le quartier MARE ADAM - Au 1er étage avec EXTÉRIEUR de 63m2 (TERRASSE et JARDIN) - CALME et SANS V...
25Y8J7HZNSFR,2025-11-12T20:21:00Z,Vaucresson,Plateau de Cazes,92420,BUY,APARTMENT,720000.0,114.0,5,4,"A 15 mn à pied de la gare de Garches-Marnes-la-Coquette (Ligne L) et de son centre-ville, découvrez cette pépite, nichée au 3 ème et dernier étage (SANS ASCENSEUR) d'une petite résidence avec gardien..."
258T44249KTL,2025-11-27T01:12:00Z,Rueil Malmaison,Rueil sur Seine-Plaine-Gare,92500,BUY,APARTMENT,550000.0,87.0,4,3,"Au pied du RER A, des commerces, et des écoles : Moins d'un quart d'heure du centre-ville, Résidence de bon standing avec ascenseur, bénéficiant d'un ravalement en 2024/2025, reliée à la géothermie (..."
25IXYDGLX9PB,2025-11-25T17:35:00Z,Clamart,Percy Schneider,92140,BUY,APARTMENT,289000.0,46.0,3,2,"Au cœur d'une petite copropriété intimiste de seulement trois logements, cet appartement traversant de trois pièces occupe le dernier étage et profite d'un environnement paisible, à quelques minutes ..."
25QLUHGFTY1U,2025-11-30T03:36:00Z,Vaucresson,Jardy-Centre Ville,92420,BUY,APARTMENT,210000.0,35.0,1,,"VAUCRESSON CENTRE - GRAND STUDIO LUMINEUX DE 35m² - CADRE VERDOYANT - EMPLACEMENT IDEAL Efficity et Adeline BERTHOLON ont le plaisir de vous présenter ce charmant studio, situé au deuxième étage d'un..."
25KVMSLVUHY8,2025-11-05T15:11:00Z,Issy-les-Moulineaux,Espaces Jeunes,92130,BUY,APARTMENT,560000.0,60.83,3,2,"Votre nouveau matin à Issy : jardin, lumière, et 10 minutes de Paris. À Issy-les-Moulineaux, dans une rue résidentielle paisible à quelques minutes du cœur de ville, se cache une adresse rare : L’Env..."
25YRGG2XQHD6,2025-11-27T12:31:00Z,Nanterre,Mont Valérien,92000,BUY,HOUSE,490000.0,77.0,3,2,"Quartier résidentiel du Mont-Valérien de Nanterre, dans une rue pavillonnaire à proximité des écoles et des commodités, Maison datant de 1980 de 3 pièces principales comprenant en rez-de-jardin un be..."
25K54VLNF4H2,2025-11-18T21:34:00Z,Garches,Porte Jaune,92380,BUY,HOUSE,1090000.0,193.0,7,5,"A quelques minutes du centre-ville, des commerces, des écoles et des lycées internationaux. Située dans une petite copropriété sécurisée de standing, belle maison familiale avec jardin orientée au Su..."
253LPZP21AZV,2025-11-19T23:22:00Z,Antony,Noyer Doré-Pajeaud-Fontaine Michalon,92160,BUY,HOUSE,750000.0,175.0,5,3,"LIMITE ANTONY/VERRIÈRES-LE-BUISSON - QUARTIER LAC MAISON MEULIÈRE AVEC EXTENSION 2 JARDINS ET 2 ACCÈS - Efficity, l'agence spécialisée dans l'estimation de biens en ligne vous propose cette belle mai..."
25IXND4KC378,2025-10-30T19:13:00Z,Villeneuve-la-Garenne,Bd Gallieni,92390,BUY,APARTMENT,427000.0,101.36,5,3,"Avec COGEDIM ACCESS(1), devenez propriétaire de votre appartement neuf pour la première fois ! À Villeneuve-la-Garenne, saisissez l'opportunité de devenir propriétaire à un prix exceptionnel. Située ..."
252GGY24WHWF,2025-11-19T23:14:00Z,Courbevoie,Marceau - République,92400,BUY,HOUSE,936000.0,126.0,5,3,"Dans un quartier pavillonnaire calme et recherché, à cinq minutes à pied de la gare de Courbevoie desservant Saint-Lazare en 10 minutes et La Défense en 3 minutes (avec accès métro et RER), à proximi..."
2594KGV7Z7YI,2025-11-27T10:38:00Z,Asnieres sur Seine,Hauts d'Asnières-Métro,92600,BUY,APARTMENT,325000.0,57.0,3,1,"Découvrez cet appartement lumineux de 3 pièces, une opportunité rare sur le marché grâce à la possibilité de repenser facilement l'agencement pour optimiser chaque mètre carré. Situé au cœur d'un qua..."
