id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
2576A3JQ3GVT,2025-11-28T15:23:00Z,Drancy,La Mare,93700,BUY,APARTMENT,167745.0,34.0,1,,"À découvrir en TVA réduite 5,5% ! Ici, on ne parle pas seulement de murs et de toits, mais d'un vrai cadre de vie pensé pour vous simplifier le quotidien. Transports : métro, bus, gare – votre futur ..."
25SX1S9HZ5YR,2025-11-28T15:23:00Z,Drancy,La Mare,93700,BUY,APARTMENT,199395.0,43.0,2,,"À découvrir en TVA réduite 5,5% ! Ici, on ne parle pas seulement de murs et de toits, mais d'un vrai cadre de vie pensé pour vous simplifier le quotidien. Transports : métro, bus, gare – votre futur ..."
25IPFWZMZULG,2025-11-27T07:19:00Z,Gagny,Forêt de Gagny,93220,BUY,APARTMENT,210000.0,37.12,2,1,"Située dans une commune dynamique de la proche banlieue est de Paris, à environ 14 €km du centre, cette adresse bénéficie du cadre résidentiel paisible et accueillant de la ville de Gagny, mélange ha..."
257FDSQAQ6YB,2025-11-27T07:19:00Z,Gagny,Forêt de Gagny,93220,BUY,APARTMENT,160000.0,27.29,1,,"Située dans une commune dynamique de la proche banlieue est de Paris, à environ 14 €km du centre, cette adresse bénéficie du cadre résidentiel paisible et accueillant de la ville de Gagny, mélange ha..."
25BVM2RSB9KE,2025-11-28T15:23:00Z,Drancy,La Mare,93700,BUY,APARTMENT,228935.0,55.0,3,,"À découvrir en TVA réduite 5,5% ! Ici, on ne parle pas seulement de murs et de toits, mais d'un vrai cadre de vie pensé pour vous simplifier le quotidien. Transports : métro, bus, gare – votre futur ..."
251EFYGGFV19,2025-11-27T07:19:00Z,Gagny,Forêt de Gagny,93220,BUY,APARTMENT,305000.0,62.52,3,2,"Située dans une commune dynamique de la proche banlieue est de Paris, à environ 14 €km du centre, cette adresse bénéficie du cadre résidentiel paisible et accueillant de la ville de Gagny, mélange ha..."
255JIJJNVQSV,2025-11-17T23:36:00Z,Villemomble,Carette-Eglise,93250,BUY,APARTMENT,264300.0,68.0,3,2,93250 - VILLEMOMBLE - APPARTEMENT - T3 - 68 M2 - BALCON LARGE - QUARTIER NORD EST - BOX FERMÉ - GARE 620 MÈTRES - CALME Les + : 2ème et Dernier étage - Lumineux - Vue dégagée - Box - SUD OUEST Cet ap...
25PJH8RJHILJ,2025-11-17T17:53:00Z,Villemomble,Carette-Eglise,93250,BUY,APARTMENT,234500.0,56.0,2,1,93250 - VILLEMOMBLE - APPARTEMENT - T2 ou T3 - 56 m² - BALCON LARGE - QUARTIER NORD EST - BOX FERMÉ - GARE 600 MÈTRES - CALME - Les + : TERRASSE avec VUE DEGAGEE - LUMINEUX - Parquet baguette - BOX -...
254BJS9BJNXD,2025-11-20T21:10:00Z,Saint Denis,Cosmonautes,93200,BUY,APARTMENT,280000.0,80.0,3,2,"L'agence ERA Immobilier vous propose un magnifique appartement à Saint-Denis, situé dans un quartier calme et familial. L'appartement se trouve à 11 minutes à pied du métro Basilique (L.13) et à 2 mi..."
25HVF7G89HW6,2025-11-20T21:10:00Z,Saint Denis,République-Gare-Porte de Paris,93200,BUY,APARTMENT,285000.0,77.0,3,2,"Idéalement situé à Saint-Denis, au pied du canal, à seulement 5 minutes à pied du métro 13 Porte de Paris et à 10-12 minutes à pied de la gare Saint-Denis Pleyel (terminus nord de la ligne 14, future..."
25VZA5MDNFD7,2025-11-28T15:23:00Z,Neuilly-Plaisance,Marne,93360,BUY,APARTMENT,263000.0,39.0,2,,"Le T2 qui vous ouvre toutes les portes. Parfaitement pensé pour un premier achat, ce T2 lumineux combine fonctionnalité et confort. Son espace de vie accueillant s'ouvre sur un balcon ou une terrasse..."
258NTVZXEYNE,2025-11-27T07:19:00Z,Gagny,Forêt de Gagny,93220,BUY,APARTMENT,420000.0,81.03,4,3,"Située dans une commune dynamique de la proche banlieue est de Paris, à environ 14 €km du centre, cette adresse bénéficie du cadre résidentiel paisible et accueillant de la ville de Gagny, mélange ha..."
251FJ8PNSI18,2025-11-13T10:16:00Z,Aubervilliers,Centre Ville,93300,BUY,APARTMENT,215000.0,39.0,2,1,Groupe Simmeo met son expertise de l'immobilier neuf à votre service. Découvrez notre sélection exclusive et nos retours de lots sur la commune. À proximité immédiate de la ligne 12 et de la future l...
