id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
24H3AUIIMV99,2023-06-12T12:19:00Z,Fort-de-France,,97200,BUY,APARTMENT,700000.0,182.68,4,1,"Cloisonnement en cours ! Dominant la ville, la résidence Les Hauts de CLUNY s’inscrit au calme de l’impasse de la Guyane, dans un des quartiers résidentiels, pavillonnaires et verdoyants, à proximité..."
24XVANV9PR94,2023-06-12T12:19:00Z,Fort-de-France,,97200,BUY,APARTMENT,370000.0,92.95,3,2,"Cloisonnement en cours ! Dominant la ville, la résidence Les Hauts de CLUNY s’inscrit au calme de l’impasse de la Guyane, dans un des quartiers résidentiels, pavillonnaires et verdoyants, à proximité..."
25EFQ7BEFRTQ,2025-09-06T04:06:00Z,Ducos,,97224,BUY,APARTMENT,265000.0,115.25,5,3,Notre agence La Résidence Fort de France a trouvé pour vous ce bel appartement mitoyen d'un côté et de la verdure de l'autre dans petite copropriété horizontale sympathique et bien gérée sans syndic ...
24YNJ5PRAA8U,2024-04-06T21:13:00Z,Fort de France,,97200,BUY,HOUSE,440000.0,187.0,7,5,"Quartier Moutte, à proximité des axes routiers et de nombreuses zones commerciales, villa spacieuse de type F7, habitable immédiatement, à moderniser, sur deux niveaux, avec rez-de-chaussée aménageab..."
25D6TJWY56KA,2025-11-29T08:20:00Z,Le Diamant,,97223,BUY,HOUSE,648000.0,150.0,5,4,"SYLVAIN GARDIN vous propose dans un quartier prisé du DIAMANT, cette villa meublée T4 de type créole qui vous séduira par son architecture typique, son jardin luxuriant et sa piscine invitante connec..."
252C61R7PWTL,2025-03-20T00:59:00Z,Le Vauclin,,97280,BUY,HOUSE,618000.0,110.0,4,3,"( 97280 ) Le Vauclin - Villa d'exception avec vue Panoramique Nous vous proposons à la vente une magnifique villa de type F4 en demi sous-sol, offrant un cadre de vie exceptionnel à la campagne, en p..."
2512HEGX54C7,2025-11-24T15:57:00Z,Les Trois Ilets,,97229,BUY,APARTMENT,265000.0,65.0,3,2,"Bel appartement T3 entièrement rénové avec goût sur la marina vendu meublé et equipé se composant d'une entrée, un séjour/cuisine, une mezzanine, deux chambres climatisées et une salle d'eau avec WC...."
24KTASPSVJHU,2024-12-02T14:40:00Z,Le Marigot,,97225,BUY,HOUSE,1140000.0,381.15,5,4,"1 140 000 € FAI (honoraires inclus à la charge de l'acquéreur) À 86 m d'altitude, face aux Pitons du Carbet, à la Montagne Pelée et jusqu'aux côtes de la Dominique, cette villa contemporaine de 381 m..."
253XQ6JLYC7Q,2025-11-08T21:42:00Z,Les Trois Ilets,,97229,BUY,APARTMENT,522500.0,75.0,3,2,"Sylvain Gardin vous propose cet appartement T3 situé dans une résidence prisée beneficiant d'une situation privilégiée. Cadre idyllique pour profiter des couchers de soleil, de la baignade ou des act..."
25XVDESSKIUY,2025-11-05T10:42:00Z,Le Diamant,,97223,BUY,HOUSE,795000.0,150.0,6,4,SYLVAIN GARDIN Cet ensemble immobilier saura vous séduire par son cadre et ses multiples possibilités. Bien Athypique où charme se mêle avec confort et authenticité. Dans un environnement paisible et...
25TXTXD1SAY8,2025-10-29T13:46:00Z,Le Diamant,,97223,BUY,HOUSE,765000.0,190.0,9,5,"Sylvain Gardin vous propose cette maison de charme rénovée située dans un quartier paisible et preservé du DIAMANT. Nichée au coeur d'une végétation luxuriante, cette propriété offre une vue imprenab..."
25EAXBIG36A8,2025-10-28T19:45:00Z,Le Diamant,,97223,BUY,APARTMENT,296800.0,50.0,3,2,"En exclusivité pour MPI, Anne Gallot vous propose ce superbe appartement T3 duplex traversant situé à deux pas de la plage, dans une des plus belles communes de la Martinique, le Diamant. Il se compo..."
25CCDTN59ZEA,2025-11-17T02:22:00Z,Le Diamant,,97223,BUY,APARTMENT,165850.0,25.0,1,,Au dernier étage très bel appartement de type T1 meublé et équipé. Vue mer et Rocher du DIAMANT. Un partenariat avec une association garantit minimum 20 000€ de revenus locatifs saisonniers par an (d...
25JIZP2GT4YD,2025-10-17T21:40:00Z,Ste Anne,,97227,BUY,APARTMENT,136250.0,28.0,1,,"En exclusivité pour MPI, Anne Gallot vous propose ce grand studio de 28,81m² (loi carrez) dans une résidence avec piscine, à proximité de la magnifique plage de la Pointe Marin, à Sainte Anne, une de..."
25AMZFQ7Q551,2025-11-05T14:26:00Z,Fort-de-France,,97200,BUY,APARTMENT,275000.0,81.0,3,2,"Appartement T3 ? Didier / Route de l?Union Découvrez un superbe appartement T3 situé au 1er étage sur 2 d?une résidence récente et sécurisée, sur la prisée route de l?Union à Didier. Avec ses 81,8 m²..."
251Q53AB89QJ,2025-11-20T11:29:00Z,Les Trois Ilets,,97229,BUY,HOUSE,590000.0,115.0,5,4,"A VENDRE - VILLA CREOLE T5 AVEC VUE MER - PISCINE ET TERRAIN DE PETANQUE - ANSE A L'ANE A vendre villa crèole T5 située à Anse à l'Âne, cette villa créole de plain-pied offre un cadre exceptionnel av..."
25QAHA72YBF8,2025-11-18T14:17:00Z,Schoelcher,,97233,BUY,HOUSE,530000.0,126.0,6,3,"Perchée sur les hauteurs paisibles de Didier, cette villa en exclusivité AFDI déploie 194 m² d?élégance et de confort au c?ur d?un terrain arboré de 1 000 m². L?atmosphère y est sereine dès l?arrivée..."
259YDW3BDYD2,2025-10-14T21:34:00Z,Les Trois Ilets,,97229,BUY,APARTMENT,500000.0,55.0,3,2,Izabella KOLODZIEJCZYK vous propose en EXCLUSIVITE ce magnifique appartement T3 de 53m2 offrant une vue panoramique à couper le souffle sur la mer des Caraïbes et la baie de Fort-de-France dans une r...
