id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25Q8KVYDF2MT,2025-11-21T23:02:00Z,Roura,,97311,BUY,HOUSE,260000,89.04,4,2,"Une maison en bois de type T4 duplex comprenant : - au rez-de-chaussée : une pièce principale à aménager - à l'étage : un séjour, une cuisine aménagée, deux chambres ventilateur et placard, une salle..."
25ZW1NRXKU4H,2025-11-18T16:54:00Z,Cayenne,,97300,BUY,APARTMENT,122000,42.5,2,1,"Dans une copropriété avec ascenseur, un appartement de type T2 situé au troisième étage et comprenant un séjour, une cuisine aménagée, un dégagement, une chambre climatisée, un espace de rangements, ..."
25SW7JYKZM12,2025-02-20T13:13:00Z,Cayenne,,97300,BUY,APARTMENT,132000,40.69,2,1,"Joli T2 vendu loué dans une résidence calme et sécurisée, situé à Cayenne route de l'université à Cayenne. L'appartement d'une surface habitable de 41m2, l'appartement comprend un séjour, une cuisine..."
25LF8I4L1VHH,2025-11-29T23:20:00Z,Kourou,,97310,BUY,HOUSE,398000,116.0,4,3,"Ville spatiale KOUROU, Villa individuelle de type 4 à vendre Découvrez cette somptueuse villa T5 de plain-pied, située dans un quartier résidentielle du Lac Bois Diable. Offrant un cadre de vie uniqu..."
25BG57KRP5VQ,2025-05-26T10:27:00Z,Kourou,,97310,BUY,HOUSE,695000,250.0,5,4,"KOUROU – PROPRIÉTÉ D'EXCEPTION – 2,6 HECTARES – MAISON 5 PIÈCES – PISCINE – PROJET AUTONOME, VIVRIER OU ÉCOLOGIQUE À deux pas du centre de Kourou, effiCity l'agence qui estime votre bien en ligne, vo..."
25I6UHNX3W9Z,2025-11-28T20:57:00Z,Cayenne,,97300,BUY,APARTMENT,170000,67.01,3,2,"Quartier ZAC HIBISCUS - Dans résidence privée, appartement de type T3 bis spacieux, lumineux, proche faculté et commodités, comprenant : une entrée, un séjour, une buanderie, une cuisine aménagée, un..."
25S5WCDUSQRN,2025-11-27T13:27:00Z,Cayenne,,97300,BUY,APARTMENT,169000,67.0,3,2,"Situé dans le secteur Hibiscus, apprécié pour sa proximité immédiate avec les commerces, les restaurants, les services et son atmosphère conviviale, cet appartement T3 offre un cadre de vie pratique ..."
25M6FWDBR6V4,2025-11-21T19:01:00Z,Cayenne,,97300,BUY,HOUSE,240000,92.0,4,3,"A vendre une maison de type IV sur une superficie de terrain de 294m² – Cayenne (973) Située au cœur du lotissement recherché des Manguiers à Cayenne, cette maison individuelle de plain-pied offre un..."
25HFZIZHKUZS,2025-11-27T18:01:00Z,Cayenne,,97300,BUY,APARTMENT,128200,37.3,2,1,"Nous vous proposons cet appartement T2 à vendre à Cayenne, idéal pour un premier achat ou un investissement. D'une surface de 37,3 m², il comprend 1 chambre, un séjour lumineux et une agréable terras..."
25W3S8RGWUA3,2025-05-02T00:52:00Z,Kourou,,97310,BUY,HOUSE,327000,137.0,6,5,"KOUROU - MAISON DE VILLE - 137 M² - BORD DE MER - INVESTISSEMENT LOCATIF – 40 920 euros/AN DE LOYERS - RENTABILITÉ 11.2% BRUT effiCity, l'agence qui estime votre bien en ligne, vous propose en exclus..."
25DG68DJ9TIR,2025-11-20T15:46:00Z,Kourou,,97310,BUY,HOUSE,398000,120.0,4,3,"A vendre dans la ville spatiale de KOUROU, une splendide villa T4 de caractère situé dans un quartier renommé, calme et agréable vue sur le lac Bois Diable. La villa se compose d'un spacieux séjour a..."
258NA96EZAG4,2025-11-28T20:49:00Z,Macouria,,97355,BUY,HOUSE,480000,160.0,5,4,"J'ai le plaisir de vous présenter cette superbe opportunité d'investissement. Il s'agit d'une maison à rénover, sur une parcelle de 5000 m2. Possibilité de construire un petit immeuble de rapport mit..."
25MCADE1RST5,2025-11-27T18:01:00Z,Macouria,,97355,BUY,HOUSE,322581,146.0,3,2,"Située sur la commune de Macouria, secteur Préfontaine, découvrez cette grande villa de 146 m2. Bâtie sur une parcelle de plus de 2000 m2, elle offre un grand séjour chaleureux donnant sur une cuisin..."
25JC3G1GV76W,2025-11-27T21:47:00Z,Cayenne,,97300,BUY,APARTMENT,99500,37.65,2,1,"Dans résidence privée, secteur Mango, au 3ème et dernier étage, appartement T2 comprenant : un séjour, une cuisine américaine aménagée avec meuble évier inox, une chambre, une salle d'eau avec WC et ..."
25NWT1G9CGB3,2025-10-30T14:15:00Z,Kourou,,97310,BUY,HOUSE,190000,80.0,4,3,"Vous recherchez une maison avec du potentiel à rénover selon vos envies? Située à moins de 500m des l'écoles, des commerces, des restaurants et de la plage elle offre un cadre de vie idéal. Découvrez..."
25LD54PX5KIQ,2025-11-17T21:37:00Z,Saint-Laurent-du-Maroni,,97320,BUY,HOUSE,330000,80.0,4,3,"Située dans un quartier calme et recherché, cette charmante maison T4 de 80 m² offre un cadre de vie agréable et fonctionnel sur un terrain de 1 631 m². Elle se compose de trois chambres, d'un salon ..."
25RFVVHHZC3S,2025-11-27T13:43:00Z,Cayenne,,97300,BUY,APARTMENT,120000,45.3,2,1,"Situé dans l'Ecoquartier HIBISCUS, dans une résidence récente nommée' 'Opaline', au 3ème et dernier étage, un appartement de type T1 Bis, comprenant: un séjour, une cuisine aménagée avec passe plats,..."
25V3XND6SEFU,2025-09-10T15:23:00Z,Saint-Laurent-du-Maroni,,97320,BUY,HOUSE,367500,124.0,4,3,Maison T5 de 124 m² avec Immense Terrain de 10 000 m² Vous recherchez une propriété spacieuse et pleine de potentiel ? Découvrez Une opportunité rare et pleine de charme : cette belle demeure vous of...
246YFTZD1VPH,2024-09-28T00:21:00Z,Cayenne,,97300,BUY,HOUSE,367500,160.0,6,4,"Magnifique villa de 180 m² située dans un quartier résidentiel calme et sécurisé. Offrant un cadre de vie exceptionnel, cette propriété sur 1250 m² se distingue par ses vastes espaces intérieurs et e..."
256E5Q149WCM,2025-11-25T04:52:00Z,Remire-Montjoly,,97354,BUY,APARTMENT,153000,37.21,2,1,"Idéalement bien situé dans une résidence de standing avec piscine et espace vert dans la commune de Rémire-Montjoly, cet appartement meublé confortable bien agencé d'une superficie de 37m2 environ se..."
25D9GRWPW9CL,2025-11-17T21:20:00Z,Cayenne,,97300,BUY,HOUSE,270000,105.0,5,4,"Cette maison nichée dans une impasse vous offre 4 chambres, 1 cuisine, 1 séjour, 2 salles d'eau et 1 buanderie ainsi que des toilettes extérieures sans oublier les 2 magnifiques terrasses. Proche de ..."
25J69BV32Z9I,2025-09-22T19:17:00Z,Remire-Montjoly,,97354,BUY,HOUSE,496400,177.0,5,4,"Maison T5 de plain-pied de 177m2 environ située à Rémire comprenant : une cuisine équipée ouverte sur un grand espace de vie de plus de 71m2, une buanderie, 3 chambre climatisées d'environ 15m2 chacu..."
25NZH4LXBUET,2025-11-03T13:41:00Z,Cayenne,,97300,BUY,HOUSE,150000,95.0,5,4,"Maison T4 à rénover ou à détruire – idéal projet d'investissement ou de reconstruction ! Située à proximité du dynamique marché de Cayenne, cette maison de type T4 + annexe offre un potentiel Excepti..."
25NRPDLYKBRH,2025-12-01T18:53:00Z,Cayenne,,97300,BUY,APARTMENT,235000,68.0,3,2,"Situé dans la charmante ville de Cayenne (97300), cet appartement bénéficie d'une localisation idéale à proximité de commodités telles que des commerces et un collège. La tranquillité du quartier se ..."
255WQ7R5W7J1,2025-11-28T07:56:00Z,Cayenne,,97300,BUY,HOUSE,395000,131.0,5,4,"Je vous propose une villa de 5 pièces (4 chambres) qui dispose de 197 m2 de surface utile. Elle est installée au fonds d'une impasse, sans vis à vis, sans nuisance sonore, sur un terrain plat totalem..."
25BFGK463FJJ,2025-11-24T14:51:00Z,Remire-Montjoly,,97354,BUY,HOUSE,321000,141.0,4,2,"Découvrez cette opportunité unique pour un investissement sécurisé, située route des plages à Montjoly, à quelques minutes à pied de la plage Idéalement implantée dans un quartier résidentiel, cette ..."
25QR5DZ3PFML,2025-12-01T18:53:00Z,Macouria,,97355,BUY,HOUSE,430000,114.0,5,3,"Actuellement en cours de rénovation. Située dans la charmante ville de Macouria (97355), cette magnifique maison bénéficie d'un emplacement privilégié dans le hameau de Prefontaine, à proximité imméd..."
252WRI34ENLZ,2025-11-29T04:48:00Z,Remire-Montjoly,,97354,BUY,HOUSE,479999,253.0,5,4,"À vendre : Maison T6 sur 3 niveaux avec vue imprenable sur la commune de Remire-Montjoly Nous sommes ravis de vous présenter cette magnifique maison T6, située dans un cadre enchanteur, nichée au cœu..."
25Z4BGFV3GDU,2025-12-01T12:50:00Z,Cayenne,,97300,BUY,APARTMENT,140000,50.86,2,1,"T2 de plain-pied avec jardinet, idéalement situé à Cayenne. Construite en 2015 et en bon état, cette surface de 50,86 m² totale offre un séjour lumineux, une chambre confortable et un espace extérieu..."
25QQ8ZFMVTSK,2025-11-26T20:57:00Z,Matoury,,97351,BUY,HOUSE,399000,132.0,5,4,"À VISITER SANS TARDER ! Laissez-vous charmer par cette villa T5 situé au Mont Paramana, où le calme et la sérénité vous séduiront. Lumineuse, aérée et fonctionnelle cette demeure n'attends que vous e..."
25143PGRPHKU,2025-09-13T12:51:00Z,Macouria,,97355,BUY,HOUSE,161254,46.0,2,1,"Située à Macouria (97355), cette maison de 2 pièces est nichée près du paisible Lac Mallard, dans une impasse peu bâtie, offrant un cadre calme et résidentiel. Idéalement positionnée, elle jouit d'un..."
255G1WN13R38,2025-11-10T07:01:00Z,Remire-Montjoly,,97354,BUY,APARTMENT,229000,57.0,3,2,"En EXCLUSIVITÉ, je vous propose ce magnifique trois pièces, idéalement situé au début de la ROUTE DES PLAGES, lieux paisible, proche de commerces, écoles et plages. Situé au sein d'une résidence de 2..."
