id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25XGBF38CNXK,2025-11-28T14:20:00Z,Mamoudzou,,97600,BUY,APARTMENT,160000,54.0,3,2,"iad France - Marie Jennie Hernandez vous propose: Appartement T3 au 3e et dernier étage de la résidence Giroflier 1. Lumineux et bien agencé, il offre une pièce de vie conviviale avec cuisine ouverte..."
25LJ2WKNMERW,2025-11-26T19:05:00Z,Koungou,,97690,BUY,APARTMENT,180000,52.0,3,2,"iad France - Baptiste Jung vous propose: Appartement T3 situé au sein de la résidence Mwanbani sur les hauteurs de Majicavo–Koropa Dubaî, 52 m² habitable avec une varangue de 9 m² offre un cadre de v..."
25HQ5H6EHEZU,2025-04-16T17:07:00Z,Koungou,,97600,BUY,HOUSE,780000,148.0,5,4,"Offrez-vous un coin de paradis avec cette magnifique villa de plain-pied nichée dans un environnement calme et verdoyant, offrant une vue panoramique exceptionnelle sur le lagon de Mayotte et ses som..."
25DA58I8ZV8A,2025-10-28T19:05:00Z,Dembeni,,97660,BUY,HOUSE,310000,120.0,5,4,"iad France - Baptiste Jung vous propose: Coup de cOEur – Chalet sur les hauteurs d'Hajangua Charmante maison duplex de 120 m² habitables (2005) sur 740 m² de terrain, avec 4 chambres, séjour avec cui..."
24KVGR542K6G,2024-11-19T09:35:00Z,Koungou,,97600,BUY,HOUSE,785000,197.0,5,4,"ORPI vous propose à la vente une charmante villa de 5 pièces, d'une superficie total de 197m² ( incluant la varangue), entièrement sécurisée par un système d'alarme, située à la pointe de Koungou. Ce..."
25PMQ9KTPW97,2025-10-28T11:08:00Z,Iloni,,97660,BUY,HOUSE,340000,159.0,5,4,"iad France - Baptiste Jung vous propose: Maison d'architecte signée JVO – 150 m² habitables – Iloni, quartier résidentiel"
25IMPK6ZB2FQ,2025-11-13T15:41:00Z,Mamoudzou,,97605,BUY,APARTMENT,130000,42.56,2,1,"Orpi propose à la vente au rez-de-chaussée de la Résidence Myriade, cet appartement T2 de 42,56 m² est idéal pour une personne seule ou un investisseur. Il offre un séjour, une chambre, une cuisine o..."
257339TGW99I,2025-07-14T10:14:00Z,Koungou,,97600,BUY,HOUSE,349000,135.0,6,4,"iad France - Marie Jennie Hernandez vous propose: MAISON FAMILIALE AVEC PISCINE & GRAND JARDIN ? ? Située à Kangani, cette belle maison de 135 m² vous séduira par ses volumes, sa fonctionnalité et so..."
241744D3BRSH,2024-11-28T13:11:00Z,Koungou,,97690,BUY,HOUSE,685000,120.0,5,4,"Orpi vous propose à la vente une maison de type T5, idéalement située dans le secteur prisé des Hauts Vallons, à quelques pas des écoles et des commerces. Elle offre un lumineux séjour avec accès à u..."
24248IWAFPFP,2024-06-22T09:55:00Z,Mamoudzou,,97600,BUY,APARTMENT,220000,72.5,3,2,"Votre agence ORPI vous propose à la vente un appartement de type T3. Situé au R+2, dans la résidence WANDZANI à HAUTS VALLONS, il comprend un séjour/cuisine, un cellier, deux chambres, un WC et une s..."
24MRWBFZ4CWJ,2024-03-11T17:14:00Z,Koungou,,97600,BUY,APARTMENT,120000,68.0,3,2,"L'agence Orpi vous présente à la vente, un appartement de type T3 d'une surface habitable de 68,33 m², situé dans la résidence Hameau du Récif dans la commune de Koungou. Ce bien se compose d'un séjo..."
25PBVP1KHDF8,2025-04-22T15:08:00Z,Mamoudzou,,97600,BUY,APARTMENT,255000,80.0,3,2,"Dans le quartier des Trois Vallées, à deux pas de toutes les commodités (centre commercial, écoles, banques, etc…), venez découvrir ce bel appartement T3, confortable et bien agencé. Il se compose de..."
24AM9N14FJ64,2024-11-13T14:45:00Z,Mamoudzou,,97600,BUY,HOUSE,415000,149.0,6,4,"A Tsoundzou 2, dans un environnement calme et verdoyant, sur 499m² de parcelle, une maison construite en 2015 de 149m² habitables. Elle se compose de deux T3 (un par niveau). Chacun se compose d'une ..."
24MFTHIXQYYS,2024-11-19T07:18:00Z,Mamoudzou,,97600,BUY,HOUSE,500000,70.0,4,3,"Idéalement située à Mamoudzou centre, dans un secteur résidentiel, à proximité immédiate des commodités, une maison individuelle construire en 1999, une superficie totale de 130m². Elle se compose à ..."
24GGZWF1XZH7,2024-09-19T14:32:00Z,Koungou,,97600,BUY,APARTMENT,115000,67.0,3,2,"Situé à Koungou, dans une résidence sécurisée avec piscine de 2008, un appartement de 67m² habitables. Il se compose d'un hall d'entrée, un espace cuisine ouvert sur un séjour donnant accès à une ter..."
24IS5AR9ENL2,2024-10-22T13:59:00Z,Koungou,,97600,BUY,HOUSE,300000,88.0,4,3,"Sur le secteur très prisé des Hauts Vallon, dans un environnement résidentiel calme et sécurisé, à proximité immédiate des commerces, bars et grandes surfaces, un logement duplex de 88m². Il se compo..."
25FYEIB23IJ9,2025-11-11T13:20:09.4640582Z,Bandrele,,97660,BUY,HOUSE,650000,120.0,5,,"A vendre Bandrele, vue panoramique sur le lagon. Maison Balinaise avec permis de construire et travaux réalisés par des entreprises. Terrain de 700m2. Maison F4 de 120 m2, sur 2 étages. + 80 m2 de so..."
