id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25E8RJMLLP8Y,2025-02-13T15:21:00Z,Saint-Paul,,97460,BUY,APARTMENT,360000,66.0,3,2,"Située à l'entrée sud de Saint-Paul, au pied de la falaise du Plateau Caillou et face au cimetière marin, la résidence ORIGINE née au cœur de l'histoire. Son emplacement exceptionnel saura satisfaire..."
25ZW5HCGGMN3,2025-02-13T15:21:00Z,Saint-Paul,,97460,BUY,APARTMENT,292000,46.0,2,1,"Située à l'entrée sud de Saint-Paul, au pied de la falaise du Plateau Caillou et face au cimetière marin, la résidence ORIGINE née au cœur de l'histoire. Son emplacement exceptionnel saura satisfaire..."
255RA98YM2L7,2025-02-13T15:21:00Z,Saint-Paul,,97460,BUY,APARTMENT,497000,84.0,4,3,"Située à l'entrée sud de Saint-Paul, au pied de la falaise du Plateau Caillou et face au cimetière marin, la résidence ORIGINE née au cœur de l'histoire. Son emplacement exceptionnel saura satisfaire..."
258EQ6F1FMP5,2025-01-02T15:33:00Z,Saint-Leu,,97436,BUY,APARTMENT,264424,40.0,2,1,"Ce programme immobilier neuf à Saint-Leu, sur la côte ouest de La Réunion, offre un cadre de vie unique dans le quartier prisé du 'Piton Sud'. Entre plages de sable blanc, lagon protégé et climat tro..."
24222Q8QP5ZR,2024-02-20T11:20:00Z,Saint-Denis,,97400,BUY,APARTMENT,379750,40.0,2,1,"À quelques pas du cœur battant de Saint-Denis, sur l'Île de la Réunion, se dévoile un programme immobilier neuf d'exception, parfaitement intégré le long d'un boulevard vivant, bordé de commerces. Ce..."
24AB27DJDMDR,2024-08-05T19:02:00Z,Saint-Pierre,,97410,BUY,APARTMENT,255000,40.0,2,1,Frais de notaire offerts sur les T2 et T3 et jusqu'à 10 000 euros sur les T3 jusqu'au 30 juin 2025 !* Ce programme immobilier neuf se distingue par une architecture contemporaine à l'esthétique raffi...
24QMZKQINQKG,2024-02-20T11:20:00Z,Saint-Paul,,97460,BUY,APARTMENT,266500,40.0,2,1,"Implanté à Saint-Paul sur l'Île de la Réunion, ce programme immobilier neuf représente une fusion parfaite entre urbanité, plages plaisantes et ensoleillement généreux. Située à seulement 10 minutes ..."
2451G8XGFQFW,2024-02-20T11:20:00Z,Tampon,,97430,BUY,APARTMENT,198850,40.0,2,1,"Située à quelques pas du cœur de Tampon, sur l'enchantante Île de la Réunion, une nouvelle résidence pour étudiants émerge, offrant un cadre de vie exceptionnel. Mêlant des vues à couper le souffle, ..."
252D9KB4HJHL,2025-02-05T13:42:00Z,Saint-Louis,,97414,BUY,APARTMENT,221760,40.0,2,1,"Imaginez une vie sous le soleil de l'Île de la Réunion, où paysages paradisiaques et dynamisme urbain se rencontrent. Ce programme immobilier neuf à Saint-Louis offre une opportunité unique, que ce s..."
24HFTCFYJY4K,2024-02-20T11:20:00Z,Saint-Denis,,97400,BUY,APARTMENT,249000,25.0,1,,"À quelques pas du cœur battant de Saint-Denis, sur l'Île de la Réunion, se dévoile un programme immobilier neuf d'exception, parfaitement intégré le long d'un boulevard vivant, bordé de commerces. Ce..."
24PQ6KFYS4XJ,2024-02-20T11:20:00Z,Tampon,,97430,BUY,APARTMENT,123750,25.0,1,,"Située à quelques pas du cœur de Tampon, sur l'enchantante Île de la Réunion, une nouvelle résidence pour étudiants émerge, offrant un cadre de vie exceptionnel. Mêlant des vues à couper le souffle, ..."
2536DZCSN7UI,2025-02-05T13:42:00Z,Saint-Louis,,97414,BUY,APARTMENT,261625,60.0,3,2,"Imaginez une vie sous le soleil de l'Île de la Réunion, où paysages paradisiaques et dynamisme urbain se rencontrent. Ce programme immobilier neuf à Saint-Louis offre une opportunité unique, que ce s..."
24PGSMCZTCBF,2024-02-20T11:20:00Z,Saint-Paul,,97460,BUY,APARTMENT,338000,60.0,3,2,"Implanté à Saint-Paul sur l'Île de la Réunion, ce programme immobilier neuf représente une fusion parfaite entre urbanité, plages plaisantes et ensoleillement généreux. Située à seulement 10 minutes ..."
23E38E5PQX3D,2023-09-28T08:13:00Z,Les Trois-Bassins,,97426,BUY,APARTMENT,400000,60.0,3,2,"Située dans l'Océan Indien, l'île de la Réunion fait partie des départements d'outre-mer français. Cette île est le creuset d'une diversité culturelle provenant de plusieurs horizons (Chine, Inde et ..."
24MSYSG4EE2E,2024-08-05T19:02:00Z,Saint-Pierre,,97410,BUY,APARTMENT,345000,60.0,3,2,Frais de notaire offerts sur les T2 et T3 et jusqu'à 10 000 euros sur les T3 jusqu'au 30 juin 2025 !* Ce programme immobilier neuf se distingue par une architecture contemporaine à l'esthétique raffi...
24VDBQG5B4J5,2024-02-20T11:20:00Z,Saint-Denis,,97400,BUY,APARTMENT,478500,60.0,3,2,"À quelques pas du cœur battant de Saint-Denis, sur l'Île de la Réunion, se dévoile un programme immobilier neuf d'exception, parfaitement intégré le long d'un boulevard vivant, bordé de commerces. Ce..."
25PNTHHTYF6U,2025-01-02T15:33:00Z,Saint-Leu,,97436,BUY,APARTMENT,301124,60.0,3,2,"Ce programme immobilier neuf à Saint-Leu, sur la côte ouest de La Réunion, offre un cadre de vie unique dans le quartier prisé du 'Piton Sud'. Entre plages de sable blanc, lagon protégé et climat tro..."
2316W5YY3XW6,2023-07-31T07:26:00Z,Saint-Denis,,97400,BUY,APARTMENT,263100,60.0,3,2,"Située rue Lacroix, à proximité du boulevard Sud, la résidence neuve de Saint-Denis est proche de l'université et de l'hôtel de région. La proximité des commerces et services, et assure aux futurs oc..."
24XT1VGLHQGL,2024-10-31T09:44:00Z,Saint-Pierre,,97410,BUY,APARTMENT,372000,60.0,3,2,"Le programme immobilier neuf s'intègre harmonieusement dans le cadre paradisiaque de l'Île de la Réunion, offrant une opportunité idéale pour une résidence principale, secondaire, ou un investissemen..."
2358HS4SYW7H,2023-09-28T08:13:00Z,Saint-Leu,,97436,BUY,APARTMENT,230000,40.0,2,1,"Cette résidence offre des appartements neufs, du 2 au 4 pièces, aux pièces généreuses et lumineuses, conçus pour optimiser chaque espace. Répartie sur deux étages, elle comprend des terrasses aux éta..."
24RI8WVRGMC7,2024-11-12T17:43:00Z,L'Etang-Salé,,97427,BUY,APARTMENT,254131,40.0,2,1,"Ce programme immobilier neuf à L'Étang-Salé les Hauts est une occasion unique de vivre au cœur d'une ville en pleine évolution, alliant tradition et modernité. Située dans un cadre dynamique et reche..."
24JC3JJABVZ2,2023-12-05T17:20:00Z,Saint-Denis,,97400,BUY,APARTMENT,220000,40.0,2,1,"Frais de notaire offerts jusqu'au 31 août 2025* Au sein du dynamique centre de Saint-Denis à la Réunion, un nouveau projet immobilier voit le jour, alliant modernité et élégance architecturale, en ha..."
24JN76HAAWPT,2024-10-31T09:44:00Z,Le Tampon,,97430,BUY,APARTMENT,118000,25.0,1,,"Investissez dans un programme immobilier neuf idéalement conçu pour attirer un maximum de locataires à La Réunion, dans la charmante commune du Tampon. À seulement 50 mètres du pôle universitaire, ce..."
247HPIWYQCE3,2023-12-05T17:20:00Z,Saint-Denis,,97400,BUY,APARTMENT,191000,25.0,1,,"Frais de notaire offerts jusqu'au 31 août 2025* Au sein du dynamique centre de Saint-Denis à la Réunion, un nouveau projet immobilier voit le jour, alliant modernité et élégance architecturale, en ha..."
25YAEUSPGNPU,2025-09-30T18:26:00Z,Saint-Paul,,97460,BUY,APARTMENT,225000,52.84,2,1,ENCORE DES OPPORTUNITÉS D'APPARTEMENTS NEUFS T2 et T3 À 10 MIN À PIED DU FRONT DE MER ! C'est à proximité du centre-ville animé de Saint-Paul et à quelques pas du front de mer qu'ICADE a choisi de co...
23VYQU4251QB,2023-09-28T08:13:00Z,Les Trois-Bassins,,97426,BUY,APARTMENT,410000,75.0,4,3,"Située dans l'Océan Indien, l'île de la Réunion fait partie des départements d'outre-mer français. Cette île est le creuset d'une diversité culturelle provenant de plusieurs horizons (Chine, Inde et ..."
25UWSKZ8F4MB,2025-01-02T15:33:00Z,Saint-Leu,,97436,BUY,APARTMENT,404635,75.0,4,3,"Ce programme immobilier neuf à Saint-Leu, sur la côte ouest de La Réunion, offre un cadre de vie unique dans le quartier prisé du 'Piton Sud'. Entre plages de sable blanc, lagon protégé et climat tro..."
24EE6JG5JGWR,2024-02-20T11:20:00Z,Saint-Denis,,97400,BUY,APARTMENT,688750,75.0,4,3,"À quelques pas du cœur battant de Saint-Denis, sur l'Île de la Réunion, se dévoile un programme immobilier neuf d'exception, parfaitement intégré le long d'un boulevard vivant, bordé de commerces. Ce..."
