id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25JBGD8D1VFJ,2025-01-09T13:32:00Z,Ax-les-Thermes,,09110,BUY,APARTMENT,119000,25.94,1,,"Ax-les-Thermes, une destination idéale pour les amateurs de sports d'hiver et de bien-être. Avec ses eaux chaudes bénéfiques, sa nature sauvage et ses paysages grandioses, la ville est un lieu de ran..."
25ZUXCRVZ84L,2025-01-09T13:32:00Z,Ax-les-Thermes,,09110,BUY,APARTMENT,159000,40.87,2,1,"Ax-les-Thermes, une destination idéale pour les amateurs de sports d'hiver et de bien-être. Avec ses eaux chaudes bénéfiques, sa nature sauvage et ses paysages grandioses, la ville est un lieu de ran..."
25QQMIVZPSUB,2025-01-09T13:32:00Z,Ax-les-Thermes,,09110,BUY,APARTMENT,199000,62.95,3,2,"Ax-les-Thermes, une destination idéale pour les amateurs de sports d'hiver et de bien-être. Avec ses eaux chaudes bénéfiques, sa nature sauvage et ses paysages grandioses, la ville est un lieu de ran..."
25RAW6BCEKPE,2025-11-17T23:41:00Z,Oust,,09140,BUY,HOUSE,87200,104.0,6,4,"Au cœur du charmant village de Vic d’Oust, cette maison est idéale comme résidence principale ou secondaire. Elle se compose de belles pièces, dont quatre chambres, ainsi que d’un petit atelier parfa..."
25UDQVA97WZ4,2025-11-21T22:16:00Z,Seix,,09140,BUY,HOUSE,108600,90.0,6,4,"Située au coeur du charmant village de Seix, cette maison mitoyenne à rafraîchir, offre un beau potentiel pour les amateurs de rénovation. Elle se compose au rez-de-chaussée, d'une pièce de vie lumin..."
25VD4G6HPKUZ,2025-11-17T23:41:00Z,Soulan,,09320,BUY,HOUSE,35000,66.0,3,2,"Venez découvrir cette maison mitoyenne, exposée plein sud, offrant un superbe potentiel à personnaliser selon vos envies ! Construite dans les années 1900, cette maison de 66 m² habitable conserve un..."
25KSXG79M729,2025-11-24T23:41:00Z,Oust,,09140,BUY,HOUSE,220000,131.0,3,2,"Située au coeur des vallées du Couserans, cette maison en pierre pleine de charme offre 131 m² habitables dans un cadre naturel et paisible. Elle se compose d’une spacieuse pièce de vie de 48 m² anim..."
25VJXM8WNT1S,2025-11-17T23:41:00Z,Erce,,09140,BUY,HOUSE,180900,110.0,5,2,"Vous recherchez un lieu authentique mêlant charme rural et confort moderne ce bien est fait pour vous. Venez découvrir cette grange aménagée avec autorisation, idéalement située dans un cadre paisibl..."
2564X5HRRJN6,2025-11-18T23:51:00Z,Seix,,09140,BUY,HOUSE,120000,29.0,2,1,"PLUSIEURS MODÈLES DE CHALETS DISPONIBLES : DE 4 À 9 COUCHAGES À PARTIR DE 120 000 € Situés sur la commune de Seix, ces chalets vous attendent au cœur d’une résidence offrant de très belles prestation..."
25Q6ABUP3R1G,2025-11-18T23:51:00Z,Seix,,09140,BUY,HOUSE,204500,51.0,4,3,"PLUSIEURS MODÈLES DE CHALETS DISPONIBLES : DE 4 À 9 COUCHAGES À PARTIR DE 120 000 € Situés sur la commune de Seix, ces chalets vous attendent au cœur d’une résidence offrant de très belles prestation..."
