numero,nom,id
89,Yonne,AD06FR90
7,Ardèche,AD06FR7
71,Saône-et-Loire,AD06FR72
58,Nièvre,AD06FR59
8,Ardennes,AD06FR8
18,Cher,AD06FR18
36,Indre,AD08FR17185
87,Haute-Vienne,AD06FR88
61,Orne,AD06FR62
3,Allier,AD06FR3
46,Lot,AD06FR47
10,Aube,AD06FR10
53,Mayenne,AD08FR20749
82,Tarn-et-Garonne,AD06FR83
55,Meuse,AD06FR56
65,Hautes-Pyrénées,AD06FR66
4,Alpes-de-Haute-Provence,AD06FR4
90,Territoire de Belfort,AD06FR91
43,Haute-Loire,AD06FR44
19,Corrèze,AD08FR6778
66,Pyrénées-Orientales,AD06FR67
32,Gers,AD06FR33
70,Haute-Saône,AD06FR71
9,Ariège,AD06FR9
973,Guyane,AD04GF1
12,Aveyron,AD06FR12
976,Mayotte,AD04YT1
2A,Corse-du-Sud,AD06FR29
2B,Haute-Corse,AD06FR30
23,Creuse,AD06FR22
52,Haute-Marne,AD06FR53
15,Cantal,AD06FR15
5,Hautes-Alpes,AD06FR5
48,Lozère,AD06FR49
